"109年08月 1319 東陽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/08/03","584,347","19,931,516","34.40","34.45","33.95","34.10","-0.45","372",
"109/08/04","637,632","22,092,522","34.10","34.95","34.10","34.80","+0.70","342",
"109/08/05","1,242,727","44,339,860","35.20","36.20","35.00","36.20","+1.40","824",
"109/08/06","2,500,131","93,039,596","36.50","37.50","36.50","37.50","+1.30","1,599",
"109/08/07","867,580","32,216,772","37.50","37.65","36.85","37.20","-0.30","581",
"109/08/10","714,878","26,753,121","37.20","37.60","37.00","37.55","+0.35","527",
"109/08/11","1,274,099","48,327,680","37.55","38.20","37.55","37.70","+0.15","911",
"109/08/12","647,513","24,120,857","38.00","38.00","36.95","37.25","-0.45","437",
"109/08/13","610,705","22,632,976","37.60","37.70","36.75","36.85","-0.40","405",
"109/08/14","1,139,894","42,176,013","36.60","37.35","36.45","37.10","+0.25","823",
"109/08/17","1,205,287","44,932,296","37.45","37.75","36.90","37.10"," 0.00","954",
"109/08/18","1,521,501","57,471,886","37.35","38.15","37.35","37.65","+0.55","992",
"109/08/19","995,652","37,274,474","37.95","37.95","37.00","37.10","-0.55","745",
"109/08/20","1,696,726","61,008,737","37.00","37.00","35.00","36.35","-0.75","1,221",
"109/08/21","856,522","30,995,951","36.20","36.60","36.05","36.25","-0.10","639",
"109/08/24","979,948","35,817,392","36.80","36.85","36.30","36.60","+0.35","606",
"109/08/25","1,561,330","58,485,220","36.60","37.80","36.60","37.55","+0.95","935",
"109/08/26","974,561","36,427,773","37.05","37.90","37.00","37.25","-0.30","576",
"109/08/27","592,175","22,193,579","37.45","37.70","37.30","37.55","+0.30","319",
"109/08/28","1,481,932","56,084,027","37.70","38.10","37.55","37.70","+0.15","894",
"109/08/31","2,509,876","96,671,843","37.90","38.80","37.90","38.70","+1.00","1,524",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

