"9909る 1522 出蝴﹁           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/09/01","411,512","8,402,695","20.30","20.55","20.30","20.45","+0.20","171",
" 99/09/02","617,983","12,808,897","20.60","20.95","20.55","20.65","+0.20","235",
" 99/09/03","752,337","15,766,902","20.80","21.05","20.80","20.95","+0.30","289",
" 99/09/06","1,222,144","25,979,534","21.10","21.35","21.10","21.25","+0.30","456",
" 99/09/07","1,255,566","26,697,086","21.35","21.45","21.05","21.05","-0.20","512",
" 99/09/08","2,169,116","45,595,436","21.15","21.20","20.85","21.00","-0.05","711",
" 99/09/09","1,470,010","27,599,297","18.50","19.00","18.50","18.80","X0.00","578",
" 99/09/10","650,469","12,327,062","19.00","19.10","18.80","18.80"," 0.00","288",
" 99/09/13","505,275","9,617,625","19.10","19.15","18.95","19.00","+0.20","219",
" 99/09/14","605,382","11,584,158","19.10","19.30","19.00","19.00"," 0.00","268",
" 99/09/15","465,524","8,915,227","19.20","19.30","19.10","19.15","+0.15","203",
" 99/09/16","447,248","8,549,568","19.30","19.30","19.00","19.15"," 0.00","190",
" 99/09/17","2,330,300","46,115,432","19.15","20.00","19.15","20.00","+0.85","772",
" 99/09/20","745,349","14,861,855","20.10","20.30","19.75","19.75","-0.25","291",
" 99/09/21","650,028","12,826,744","20.00","20.20","19.60","19.60","-0.15","274",
" 99/09/23","626,403","12,444,403","19.90","20.00","19.70","19.75","+0.15","260",
" 99/09/24","366,883","7,264,825","19.60","19.90","19.60","19.90","+0.15","181",
" 99/09/27","582,709","11,534,893","20.10","20.10","19.60","19.70","-0.20","223",
" 99/09/28","304,780","5,973,828","19.80","19.80","19.55","19.55","-0.15","132",
" 99/09/29","592,156","11,596,237","19.60","19.80","19.45","19.55"," 0.00","250",
" 99/09/30","440,889","8,619,423","19.70","19.70","19.45","19.50","-0.05","166",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

