"105年08月 1522 堤維西           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/08/01","7,101,160","224,660,120","30.55","32.50","30.35","32.45","+2.35","3,333",
"105/08/02","4,131,722","134,790,655","32.80","33.25","32.10","32.75","+0.30","2,295",
"105/08/03","2,072,725","66,923,967","32.00","32.80","31.75","32.30","-0.45","1,156",
"105/08/04","5,323,835","177,506,462","32.45","34.30","31.90","33.80","+1.50","2,923",
"105/08/05","4,492,552","153,557,819","33.60","34.95","33.35","34.60","+0.80","2,545",
"105/08/08","2,623,924","89,688,767","34.55","34.90","33.85","34.00","-0.60","1,453",
"105/08/09","4,817,714","158,497,472","33.70","33.80","32.05","32.80","-1.20","2,114",
"105/08/10","3,903,772","131,892,713","33.35","34.40","33.15","33.70","+0.90","1,967",
"105/08/11","2,510,763","83,096,201","33.60","33.70","32.50","33.30","-0.40","1,520",
"105/08/12","1,665,320","55,451,718","33.75","33.75","32.80","33.40","+0.10","963",
"105/08/15","2,252,153","76,911,229","33.70","34.50","33.70","34.15","+0.75","1,100",
"105/08/16","2,641,367","91,095,991","34.40","34.75","34.25","34.50","+0.35","1,416",
"105/08/17","3,195,591","111,374,194","34.50","35.80","34.05","35.20","+0.70","2,035",
"105/08/18","6,133,877","223,366,903","35.15","37.30","34.80","36.95","+1.75","3,264",
"105/08/19","4,095,840","148,716,982","37.00","37.35","35.65","35.90","-1.05","2,290",
"105/08/22","3,209,232","111,993,218","35.90","35.90","34.35","34.80","-1.10","1,674",
"105/08/23","2,251,337","80,097,773","35.35","35.90","35.15","35.50","+0.70","1,164",
"105/08/24","2,371,925","84,491,257","35.80","36.45","35.15","35.15","-0.35","1,355",
"105/08/25","2,192,269","77,420,631","35.15","35.60","35.00","35.25","+0.10","1,146",
"105/08/26","3,305,462","118,560,796","35.60","36.20","35.45","35.90","+0.65","1,622",
"105/08/29","3,448,114","120,663,445","34.60","35.65","34.40","35.50","X0.00","1,918",
"105/08/30","3,050,768","109,883,629","35.75","36.45","35.50","35.90","+0.40","1,720",
"105/08/31","1,843,525","65,906,059","36.30","36.30","35.10","35.80","-0.10","1,203",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

