"10012る 1582 獺繟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/12/01","682,198","24,275,589","36.15","36.15","35.00","35.30","+1.50","256",
"100/12/02","128,205","4,440,811","35.50","35.55","34.45","34.55","-0.75","100",
"100/12/05","93,110","3,195,667","34.50","34.55","34.10","34.10","-0.45","63",
"100/12/06","76,060","2,572,940","34.10","34.20","33.50","33.60","-0.50","53",
"100/12/07","139,498","4,735,581","34.20","34.30","33.60","34.30","+0.70","81",
"100/12/08","137,040","4,588,638","34.00","34.00","33.30","33.30","-1.00","72",
"100/12/09","127,000","4,190,900","33.00","33.30","32.80","33.20","-0.10","67",
"100/12/12","82,045","2,746,503","34.00","34.00","33.25","33.25","+0.05","59",
"100/12/13","110,300","3,653,989","33.00","33.45","32.90","33.15","-0.10","83",
"100/12/14","91,100","3,031,715","33.00","33.50","33.00","33.50","+0.35","59",
"100/12/15","103,010","3,419,484","33.05","33.45","32.95","33.40","-0.10","65",
"100/12/16","142,148","4,709,334","33.40","33.40","32.95","33.00","-0.40","70",
"100/12/19","174,116","5,559,182","33.00","33.00","31.50","31.60","-1.40","114",
"100/12/20","127,020","4,037,689","31.35","32.30","31.35","31.65","+0.05","94",
"100/12/21","155,100","5,130,405","32.50","33.50","32.50","33.40","+1.75","104",
"100/12/22","96,000","3,151,650","32.80","33.00","32.50","32.75","-0.65","61",
"100/12/23","758,191","25,178,913","32.90","34.00","32.80","33.80","+1.05","386",
"100/12/26","548,160","18,251,262","33.80","34.50","32.90","33.30","-0.50","269",
"100/12/27","375,045","12,270,598","33.30","33.30","32.40","32.75","-0.55","214",
"100/12/28","295,140","9,589,085","32.75","32.85","32.10","32.70","-0.05","169",
"100/12/29","325,191","10,452,017","32.50","32.50","32.00","32.40","-0.30","173",
"100/12/30","185,000","6,025,800","32.60","32.85","32.40","32.40"," 0.00","112",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

