"109年10月 1582 信錦             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/10/05","247,668","20,739,201","83.50","84.80","83.30","83.70","-0.10","222",
"109/10/06","229,327","19,356,162","84.60","84.70","84.10","84.40","+0.70","179",
"109/10/07","308,244","26,194,810","84.40","85.80","84.20","85.00","+0.60","242",
"109/10/08","734,640","62,734,685","86.10","86.20","84.60","85.30","+0.30","479",
"109/10/12","374,761","31,927,085","85.80","85.80","84.70","85.00","-0.30","263",
"109/10/13","425,247","35,873,595","85.40","85.40","83.80","84.40","-0.60","351",
"109/10/14","342,966","29,199,210","84.60","85.70","84.60","84.90","+0.50","292",
"109/10/15","356,370","29,968,780","85.00","85.00","83.70","84.10","-0.80","312",
"109/10/16","689,164","58,611,139","84.10","85.70","83.70","84.40","+0.30","583",
"109/10/19","434,686","37,065,641","85.30","86.00","84.70","85.30","+0.90","375",
"109/10/20","390,024","33,352,554","85.30","86.10","84.70","86.00","+0.70","317",
"109/10/21","659,671","57,174,241","86.30","87.40","86.20","86.70","+0.70","553",
"109/10/22","1,185,801","101,492,441","87.00","87.00","84.90","85.80","-0.90","651",
"109/10/23","231,750","19,877,895","86.00","86.20","85.40","86.00","+0.20","190",
"109/10/26","235,859","20,165,415","86.00","86.10","85.30","85.30","-0.70","219",
"109/10/27","280,124","23,862,031","84.70","85.40","84.70","85.40","+0.10","199",
"109/10/28","206,300","17,575,199","85.50","85.50","85.00","85.10","-0.30","190",
"109/10/29","214,025","18,051,590","84.20","84.80","83.90","84.60","-0.50","203",
"109/10/30","852,984","73,258,106","85.00","86.80","85.00","85.70","+1.10","679",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

