"9903る 1609 ㄈ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/03/01","3,612,069","28,057,733","7.56","7.85","7.56","7.81","+0.30","788",
" 99/03/02","2,253,900","17,757,931","7.95","7.95","7.80","7.81"," 0.00","442",
" 99/03/03","3,090,376","24,583,358","7.90","8.05","7.81","8.05","+0.24","502",
" 99/03/04","5,779,577","47,361,714","8.20","8.30","8.05","8.08","+0.03","972",
" 99/03/05","1,266,251","10,247,555","8.10","8.18","8.05","8.05","-0.03","365",
" 99/03/08","1,197,807","9,670,204","8.17","8.17","8.05","8.06","+0.01","246",
" 99/03/09","1,167,804","9,360,255","8.10","8.10","7.96","7.97","-0.09","250",
" 99/03/10","1,219,076","9,691,176","7.92","8.02","7.91","7.92","-0.05","364",
" 99/03/11","1,222,588","9,723,820","7.95","8.02","7.88","7.89","-0.03","265",
" 99/03/12","811,423","6,422,393","7.91","7.98","7.89","7.92","+0.03","181",
" 99/03/15","1,447,947","11,327,446","7.90","7.92","7.77","7.78","-0.14","330",
" 99/03/16","697,958","5,437,534","7.75","7.85","7.74","7.85","+0.07","191",
" 99/03/17","2,031,215","16,204,840","7.88","8.05","7.88","8.05","+0.20","399",
" 99/03/18","1,934,154","15,613,463","8.05","8.13","8.02","8.06","+0.01","435",
" 99/03/19","1,133,960","9,132,063","8.06","8.09","8.02","8.04","-0.02","340",
" 99/03/22","1,464,986","11,756,734","8.04","8.08","7.96","8.08","+0.04","289",
" 99/03/23","2,727,840","22,205,402","8.08","8.20","8.08","8.13","+0.05","585",
" 99/03/24","1,331,249","10,827,220","8.18","8.19","8.08","8.10","-0.03","274",
" 99/03/25","1,016,926","8,175,895","8.09","8.10","7.99","8.04","-0.06","259",
" 99/03/26","16,588,618","140,512,445","8.05","8.60","8.05","8.60","+0.56","2,515",
" 99/03/29","15,677,766","137,746,532","8.90","8.90","8.58","8.65","+0.05","2,771",
" 99/03/30","3,219,694","27,759,731","8.70","8.74","8.55","8.58","-0.07","709",
" 99/03/31","3,601,673","30,792,037","8.59","8.66","8.42","8.43","-0.15","680",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

