"10108る 1612 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/08/01","283,054","2,682,090","9.47","9.52","9.43","9.50","+0.03","92",
"101/08/03","210,309","1,998,609","9.50","9.58","9.47","9.47","-0.03","78",
"101/08/06","193,531","1,841,088","9.58","9.59","9.48","9.51","+0.04","83",
"101/08/07","237,636","2,260,704","9.52","9.55","9.46","9.54","+0.03","78",
"101/08/08","577,300","5,582,221","9.61","9.78","9.56","9.69","+0.15","228",
"101/08/09","277,975","2,695,573","9.70","9.74","9.66","9.68","-0.01","123",
"101/08/10","155,786","1,511,095","9.68","9.74","9.68","9.70","+0.02","73",
"101/08/13","370,642","3,606,926","9.70","9.81","9.68","9.78","+0.08","133",
"101/08/14","487,001","4,790,539","9.80","9.90","9.79","9.79","+0.01","176",
"101/08/15","366,255","3,594,409","9.80","9.87","9.72","9.77","-0.02","137",
"101/08/16","664,500","6,570,229","9.77","9.94","9.77","9.91","+0.14","212",
"101/08/17","432,950","4,291,184","9.91","9.97","9.86","9.90","-0.01","124",
"101/08/20","233,487","2,295,510","9.90","9.95","9.79","9.82","-0.08","82",
"101/08/21","317,050","3,132,163","9.85","9.93","9.82","9.88","+0.06","137",
"101/08/22","248,394","2,450,778","9.88","9.90","9.83","9.88"," 0.00","101",
"101/08/23","220,352","2,168,256","9.88","9.90","9.80","9.85","-0.03","98",
"101/08/24","355,000","3,480,950","9.80","9.83","9.78","9.82","-0.03","79",
"101/08/27","153,987","1,506,483","9.82","9.82","9.76","9.77","-0.05","70",
"101/08/28","301,125","2,926,225","9.77","9.78","9.62","9.70","-0.07","109",
"101/08/29","250,075","2,432,434","9.70","9.80","9.66","9.71","+0.01","109",
"101/08/30","222,054","2,156,689","9.70","9.75","9.66","9.68","-0.03","56",
"101/08/31","265,002","2,551,560","9.68","9.68","9.62","9.64","-0.04","79",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

