"102年12月 1734 杏輝             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/12/02","1,205,716","60,183,350","50.20","50.70","49.70","49.70","-0.50","772",
"102/12/03","1,288,200","64,439,800","50.00","50.20","49.70","50.00","+0.30","756",
"102/12/04","1,475,500","72,859,597","49.00","49.70","49.00","49.50","-0.50","925",
"102/12/05","1,771,200","86,820,109","49.20","49.70","48.55","49.15","-0.35","1,103",
"102/12/06","2,002,135","99,135,630","49.35","50.00","49.05","49.20","+0.05","1,323",
"102/12/09","1,887,310","92,279,529","49.50","49.60","48.50","48.50","-0.70","1,118",
"102/12/10","1,640,020","78,821,417","48.50","48.50","47.75","48.10","-0.40","1,086",
"102/12/11","1,852,665","90,642,735","49.00","49.35","48.60","48.70","+0.60","1,221",
"102/12/12","1,221,252","59,332,793","48.75","49.00","48.30","48.65","-0.05","823",
"102/12/13","1,149,286","55,578,340","48.50","48.80","48.15","48.25","-0.40","738",
"102/12/16","1,295,803","61,823,906","48.25","48.50","47.50","47.55","-0.70","884",
"102/12/17","990,959","47,211,647","47.80","47.95","47.35","47.75","+0.20","585",
"102/12/18","2,250,943","109,875,057","48.00","49.25","47.90","48.90","+1.15","1,376",
"102/12/19","1,143,248","55,983,812","49.50","49.50","48.60","48.65","-0.25","734",
"102/12/20","943,515","45,580,876","48.65","48.65","48.10","48.50","-0.15","576",
"102/12/23","987,740","47,692,639","48.55","48.60","48.10","48.10","-0.40","607",
"102/12/24","954,711","46,302,793","48.20","48.80","48.20","48.60","+0.50","582",
"102/12/25","1,874,804","91,753,631","48.80","49.25","48.65","48.70","+0.10","1,029",
"102/12/26","837,552","40,610,022","49.00","49.00","48.25","48.40","-0.30","527",
"102/12/27","820,406","39,738,866","48.40","48.80","48.20","48.35","-0.05","551",
"102/12/30","4,823,194","239,359,304","48.40","50.40","48.35","49.80","+1.45","2,517",
"102/12/31","2,354,613","117,376,141","50.20","50.40","49.30","49.30","-0.50","1,321",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

