"10505る 1802              らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","1,467,738","19,823,312","13.75","13.80","13.35","13.55","-0.20","571",
"105/05/04","2,946,230","39,203,007","13.65","13.65","13.15","13.20","-0.35","898",
"105/05/05","1,662,822","22,317,585","13.35","13.70","13.20","13.60","+0.40","628",
"105/05/06","1,916,196","26,062,262","13.50","13.75","13.45","13.75","+0.15","530",
"105/05/09","1,500,370","20,427,111","13.70","13.90","13.45","13.45","-0.30","580",
"105/05/10","849,303","11,472,872","13.45","13.65","13.35","13.45"," 0.00","333",
"105/05/11","881,162","11,825,001","13.55","13.60","13.30","13.30","-0.15","342",
"105/05/12","1,059,590","14,003,676","13.30","13.40","13.10","13.15","-0.15","377",
"105/05/13","1,026,234","13,494,872","13.25","13.30","13.00","13.30","+0.15","356",
"105/05/16","804,569","10,645,480","13.10","13.40","13.10","13.20","-0.10","367",
"105/05/17","1,072,835","14,140,536","13.15","13.35","13.10","13.20"," 0.00","315",
"105/05/18","943,711","12,416,626","13.20","13.30","13.05","13.10","-0.10","340",
"105/05/19","1,953,247","25,447,984","13.10","13.25","12.90","13.00","-0.10","502",
"105/05/20","1,285,084","16,642,530","13.05","13.20","12.75","13.00"," 0.00","586",
"105/05/23","1,328,669","17,653,796","13.10","13.45","13.00","13.35","+0.35","590",
"105/05/24","764,163","10,214,656","13.35","13.50","13.30","13.35"," 0.00","331",
"105/05/25","1,078,099","14,478,856","13.35","13.50","13.35","13.35"," 0.00","337",
"105/05/26","1,672,069","22,494,080","13.35","13.60","13.30","13.55","+0.20","505",
"105/05/27","938,903","12,722,986","13.55","13.60","13.50","13.55"," 0.00","345",
"105/05/30","1,018,295","13,837,430","13.40","13.65","13.40","13.60","+0.05","345",
"105/05/31","1,364,620","18,481,547","13.60","13.65","13.45","13.55","-0.05","524",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

