"110年03月 1802 台玻             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/03/02","28,614,288","567,073,718","20.45","21.00","19.05","19.20","-0.80","9,888",
"110/03/03","31,703,719","635,401,363","19.25","20.60","19.20","20.30","+1.10","10,182",
"110/03/04","26,753,579","544,051,749","19.95","20.90","19.75","20.00","-0.30","9,200",
"110/03/05","14,850,886","296,006,243","19.80","20.45","19.50","19.55","-0.45","5,418",
"110/03/08","15,721,769","314,657,044","19.95","20.50","19.50","19.80","+0.25","5,026",
"110/03/09","14,576,923","292,596,203","20.00","20.30","19.75","20.20","+0.40","4,513",
"110/03/10","12,807,981","254,907,135","20.05","20.30","19.60","19.80","-0.40","4,881",
"110/03/11","9,277,771","184,941,340","19.85","20.05","19.75","19.85","+0.05","2,861",
"110/03/12","18,131,248","367,825,692","20.05","20.60","19.80","20.45","+0.60","5,708",
"110/03/15","18,435,714","368,312,878","20.45","20.55","19.60","19.85","-0.60","6,871",
"110/03/16","14,352,575","280,788,140","20.05","20.05","19.30","19.30","-0.55","5,291",
"110/03/17","7,975,286","153,842,587","19.25","19.55","19.10","19.20","-0.10","3,364",
"110/03/18","9,458,500","182,570,857","19.45","19.60","19.10","19.60","+0.40","3,296",
"110/03/19","7,566,014","145,480,741","19.40","19.45","19.10","19.15","-0.45","2,751",
"110/03/22","6,971,019","135,378,438","19.20","19.65","19.10","19.50","+0.35","2,498",
"110/03/23","5,899,529","113,508,642","19.50","19.50","19.15","19.15","-0.35","2,501",
"110/03/24","5,282,656","100,843,431","19.15","19.30","18.90","19.05","-0.10","2,331",
"110/03/25","5,947,815","114,945,108","19.10","19.60","19.10","19.15","+0.10","2,344",
"110/03/26","4,021,707","77,702,138","19.20","19.45","19.15","19.35","+0.20","1,756",
"110/03/29","10,557,713","207,808,516","19.55","19.85","19.45","19.65","+0.30","3,281",
"110/03/30","19,248,548","383,091,464","19.90","20.20","19.55","19.80","+0.15","5,499",
"110/03/31","11,903,210","238,247,642","20.00","20.20","19.90","19.90","+0.10","3,843",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

