"10311る 2312 腳             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/11/03","7,829,866","105,122,386","13.40","13.65","13.25","13.40","+0.15","1,834",
"103/11/04","3,575,430","48,188,571","13.40","13.55","13.40","13.50","+0.10","970",
"103/11/05","6,222,739","84,017,844","13.60","13.70","13.40","13.40","-0.10","1,309",
"103/11/06","3,973,477","52,430,170","13.40","13.50","13.00","13.00","-0.40","1,098",
"103/11/07","3,134,126","41,055,754","13.20","13.20","12.95","13.15","+0.15","775",
"103/11/10","23,932,048","334,129,322","13.50","14.05","13.45","14.05","+0.90","4,496",
"103/11/11","11,605,022","161,152,841","14.00","14.05","13.75","13.90","-0.15","2,429",
"103/11/12","23,072,072","326,455,326","13.75","14.50","13.70","14.50","+0.60","4,478",
"103/11/13","18,074,606","257,708,197","14.55","14.55","14.10","14.25","-0.25","3,935",
"103/11/14","9,417,616","134,024,020","14.25","14.35","14.10","14.15","-0.10","1,915",
"103/11/17","8,553,650","119,910,858","14.25","14.25","13.80","13.85","-0.30","1,924",
"103/11/18","9,694,267","132,081,482","13.95","14.00","13.40","13.60","-0.25","2,312",
"103/11/19","4,849,089","66,672,602","13.80","13.85","13.65","13.70","+0.10","1,368",
"103/11/20","8,788,811","123,120,601","13.90","14.15","13.80","14.00","+0.30","1,955",
"103/11/21","5,373,375","75,169,970","14.05","14.10","13.90","14.00"," 0.00","1,116",
"103/11/24","4,051,059","56,294,853","14.05","14.10","13.80","13.80","-0.20","1,318",
"103/11/25","8,314,992","116,882,775","13.80","14.30","13.80","14.20","+0.40","2,055",
"103/11/26","8,868,286","124,692,712","14.10","14.20","13.95","14.10","-0.10","1,522",
"103/11/27","7,596,837","106,615,621","14.20","14.20","13.90","13.90","-0.20","1,633",
"103/11/28","6,277,761","87,495,577","13.90","14.10","13.80","13.85","-0.05","1,218",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

