"108年07月 2312 金寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/07/01","2,678,100","28,671,759","10.85","10.85","10.65","10.75"," 0.00","694",
"108/07/02","1,338,081","14,293,351","10.75","10.75","10.65","10.65","-0.10","760",
"108/07/03","1,739,417","18,435,548","10.70","10.70","10.55","10.60","-0.05","519",
"108/07/04","921,665","9,818,042","10.60","10.70","10.60","10.65","+0.05","474",
"108/07/05","1,198,072","12,761,462","10.65","10.70","10.60","10.65"," 0.00","423",
"108/07/08","6,584,049","69,804,557","10.65","10.70","10.55","10.60","-0.05","524",
"108/07/09","2,208,368","22,880,503","10.35","10.45","10.30","10.35","X0.00","939",
"108/07/10","1,928,586","19,941,130","10.40","10.40","10.30","10.40","+0.05","800",
"108/07/11","1,382,011","14,286,257","10.35","10.40","10.30","10.35","-0.05","538",
"108/07/12","2,640,008","27,452,576","10.40","10.45","10.30","10.40","+0.05","933",
"108/07/15","3,286,244","34,455,529","10.40","10.55","10.40","10.50","+0.10","509",
"108/07/16","1,219,892","12,790,322","10.50","10.55","10.45","10.45","-0.05","646",
"108/07/17","2,066,572","21,375,156","10.40","10.45","10.30","10.30","-0.15","969",
"108/07/18","1,240,102","12,729,891","10.30","10.35","10.25","10.25","-0.05","443",
"108/07/19","1,128,967","11,628,502","10.30","10.35","10.25","10.35","+0.10","461",
"108/07/22","1,443,368","14,843,369","10.35","10.35","10.20","10.30","-0.05","324",
"108/07/23","1,678,721","17,317,019","10.30","10.35","10.25","10.35","+0.05","557",
"108/07/24","1,948,825","20,196,802","10.40","10.40","10.25","10.30","-0.05","953",
"108/07/25","1,842,153","18,933,107","10.30","10.35","10.20","10.25","-0.05","647",
"108/07/26","1,083,659","11,109,718","10.30","10.30","10.20","10.30","+0.05","390",
"108/07/29","803,359","8,235,504","10.30","10.30","10.20","10.25","-0.05","227",
"108/07/30","1,220,126","12,505,879","10.30","10.30","10.20","10.25"," 0.00","473",
"108/07/31","2,093,816","21,563,047","10.30","10.40","10.20","10.40","+0.15","717",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

