"108年03月 2324 仁寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","16,784,435","318,055,865","18.95","19.05","18.80","18.95","-0.15","4,501",
"108/03/05","8,562,962","161,762,862","18.90","18.95","18.80","18.90","-0.05","2,128",
"108/03/06","9,588,667","181,758,173","18.90","19.00","18.85","19.00","+0.10","2,275",
"108/03/07","9,089,761","173,072,859","19.00","19.10","18.95","19.00"," 0.00","2,556",
"108/03/08","9,608,949","181,033,681","18.95","18.95","18.75","18.90","-0.10","2,839",
"108/03/11","7,393,030","138,931,129","18.90","18.90","18.75","18.75","-0.15","2,873",
"108/03/12","8,562,669","161,043,840","18.85","18.90","18.75","18.80","+0.05","2,124",
"108/03/13","7,892,134","148,898,889","18.85","18.90","18.80","18.90","+0.10","1,923",
"108/03/14","5,910,267","111,316,600","18.90","18.95","18.80","18.80","-0.10","2,009",
"108/03/15","18,373,427","344,875,351","18.80","18.90","18.75","18.75","-0.05","2,675",
"108/03/18","6,721,982","127,208,039","18.80","19.00","18.80","19.00","+0.25","2,525",
"108/03/19","9,244,121","175,822,849","19.10","19.10","18.95","19.00"," 0.00","3,185",
"108/03/20","8,750,178","166,014,732","19.00","19.05","18.90","19.00"," 0.00","1,816",
"108/03/21","4,107,265","78,077,678","19.05","19.05","18.95","19.00"," 0.00","1,586",
"108/03/22","8,291,931","158,054,789","19.05","19.10","19.00","19.10","+0.10","2,362",
"108/03/25","19,424,078","364,379,379","18.85","18.85","18.65","18.85","-0.25","6,084",
"108/03/26","8,187,373","154,678,234","18.90","19.00","18.80","18.90","+0.05","2,580",
"108/03/27","9,425,340","179,171,910","19.00","19.10","18.95","19.00","+0.10","2,940",
"108/03/28","5,500,239","104,280,941","19.00","19.00","18.90","19.00"," 0.00","1,799",
"108/03/29","14,751,312","281,334,030","19.00","19.15","18.90","19.15","+0.15","2,707",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

