"111年10月 2327 國巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/10/03","4,352,080","1,204,535,407","265.00","283.50","264.00","281.00","+12.00","6,827",
"111/10/04","2,782,840","799,740,155","287.50","290.00","284.00","287.50","+6.50","4,722",
"111/10/05","5,210,375","1,523,012,663","295.00","303.00","291.50","297.50","+10.00","11,240",
"111/10/06","3,080,415","909,285,610","301.00","301.50","292.00","294.50","-3.00","9,451",
"111/10/07","5,890,548","1,696,614,290","293.50","294.00","286.00","287.00","-7.50","6,157",
"111/10/11","3,476,717","958,668,825","276.50","281.00","271.00","272.50","-14.50","4,823",
"111/10/12","3,607,764","972,378,086","274.50","276.00","265.00","270.50","-2.00","3,776",
"111/10/13","1,896,433","507,536,192","271.00","274.00","263.00","264.00","-6.50","4,835",
"111/10/14","2,546,077","705,635,120","274.50","281.00","273.00","277.50","+13.50","3,930",
"111/10/17","2,156,930","589,345,775","271.00","279.00","267.00","278.50","+1.00","6,638",
"111/10/18","2,693,345","755,442,022","283.00","285.00","278.00","278.50"," 0.00","3,831",
"111/10/19","3,941,850","1,071,435,591","278.50","279.50","268.00","268.00","-10.50","14,930",
"111/10/31","4,730,916","1,672,408,159","348.00","367.00","336.00","367.00","X0.00","7,539",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

