"99年06月 2351 順德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/06/01","1,147,583","50,211,153","43.20","44.45","43.00","43.35","+0.15","580",
" 99/06/02","962,798","41,638,015","43.10","44.10","42.15","42.95","-0.40","467",
" 99/06/03","1,276,001","56,244,494","44.00","44.75","43.30","44.40","+1.45","533",
" 99/06/04","5,034,847","235,673,482","45.50","47.50","44.90","47.50","+3.10","1,736",
" 99/06/07","3,360,153","152,160,410","46.00","46.30","44.50","45.70","-1.80","1,247",
" 99/06/08","1,803,129","82,510,129","45.70","46.20","44.70","45.40","-0.30","711",
" 99/06/09","2,015,174","90,729,182","46.15","46.50","42.50","43.00","-2.40","934",
" 99/06/10","1,748,977","75,053,192","43.10","44.00","42.15","43.70","+0.70","829",
" 99/06/11","2,148,409","97,687,499","45.00","46.00","44.50","45.60","+1.90","999",
" 99/06/14","1,408,177","63,731,469","45.90","46.00","44.50","45.60"," 0.00","643",
" 99/06/15","809,028","36,909,678","45.80","45.95","45.20","45.70","+0.10","416",
" 99/06/17","1,493,526","67,963,888","46.45","46.50","44.80","45.00","-0.70","660",
" 99/06/18","1,910,200","84,499,429","45.40","45.40","43.95","44.00","-1.00","802",
" 99/06/21","1,617,492","71,579,742","44.00","44.70","43.50","44.60","+0.60","805",
" 99/06/22","1,238,769","54,540,601","44.70","44.70","43.70","43.90","-0.70","615",
" 99/06/23","1,207,217","52,452,722","43.50","43.80","43.10","43.20","-0.70","679",
" 99/06/24","1,793,389","77,655,123","43.00","43.75","43.00","43.25","+0.05","855",
" 99/06/25","2,077,636","87,315,824","43.00","43.00","41.20","41.70","-1.55","901",
" 99/06/28","1,606,374","66,321,009","41.90","42.25","40.75","40.80","-0.90","756",
" 99/06/29","1,683,058","70,558,828","41.20","42.75","41.20","41.20","+0.40","907",
" 99/06/30","1,182,102","47,808,352","40.50","41.00","40.20","40.30","-0.90","599",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

