"108年10月 2352 佳世達           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/10/01","20,122,212","439,653,693","21.45","22.10","21.40","21.85","+0.70","5,840",
"108/10/02","11,036,515","242,461,062","21.80","22.15","21.75","21.90","+0.05","3,934",
"108/10/03","4,462,720","96,884,697","21.60","21.85","21.55","21.75","-0.15","1,613",
"108/10/04","13,374,594","296,129,718","22.20","22.40","21.95","22.10","+0.35","4,614",
"108/10/07","9,401,447","209,707,967","22.25","22.50","22.10","22.15","+0.05","2,734",
"108/10/08","7,121,726","156,966,882","22.30","22.35","21.85","21.90","-0.25","2,638",
"108/10/09","6,041,837","132,832,410","21.90","22.10","21.80","22.05","+0.15","1,922",
"108/10/14","7,542,904","167,597,638","22.25","22.35","22.10","22.15","+0.10","2,291",
"108/10/15","8,221,476","180,656,139","22.15","22.25","21.70","21.75","-0.40","2,785",
"108/10/16","8,150,033","176,516,948","21.85","21.85","21.45","21.75"," 0.00","3,019",
"108/10/17","3,561,922","77,598,391","21.80","21.90","21.70","21.75"," 0.00","1,224",
"108/10/18","13,007,529","285,926,937","21.80","22.05","21.70","22.05","+0.30","2,072",
"108/10/21","7,921,317","176,415,718","22.15","22.40","22.10","22.35","+0.30","2,522",
"108/10/22","16,547,471","374,647,485","22.50","22.85","22.40","22.60","+0.25","4,582",
"108/10/23","9,178,153","209,071,150","22.65","22.95","22.65","22.75","+0.15","2,643",
"108/10/24","6,637,207","150,663,659","22.85","22.90","22.55","22.65","-0.10","2,198",
"108/10/25","7,563,163","170,066,719","22.80","22.80","22.30","22.40","-0.25","2,549",
"108/10/28","4,769,153","106,870,910","22.50","22.55","22.30","22.50","+0.10","1,499",
"108/10/29","8,361,254","188,947,322","22.60","22.75","22.35","22.40","-0.10","1,999",
"108/10/30","20,519,050","470,489,516","22.60","23.15","22.50","22.80","+0.40","6,233",
"108/10/31","9,004,088","205,899,332","23.00","23.00","22.70","22.85","+0.05","2,855",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

