"110年03月 2353 宏碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/03/02","21,764,407","584,455,980","27.20","27.30","26.35","26.50","-0.35","7,597",
"110/03/03","17,422,517","465,831,783","26.60","27.00","26.30","27.00","+0.50","6,123",
"110/03/04","22,985,714","616,467,825","27.10","27.20","26.55","26.60","-0.40","7,644",
"110/03/05","30,977,980","816,157,620","26.35","26.60","26.15","26.40","-0.20","8,667",
"110/03/08","28,701,798","774,004,146","26.85","27.20","26.65","27.05","+0.65","8,446",
"110/03/09","17,816,964","479,636,405","27.15","27.30","26.60","27.00","-0.05","6,085",
"110/03/10","21,688,881","589,402,447","27.30","27.45","26.80","26.90","-0.10","7,772",
"110/03/11","29,778,748","813,383,257","27.05","27.50","27.00","27.35","+0.45","8,509",
"110/03/12","23,282,007","640,540,901","27.60","27.75","27.30","27.55","+0.20","7,334",
"110/03/15","13,240,725","365,504,240","27.70","27.80","27.45","27.70","+0.15","4,873",
"110/03/16","23,059,558","639,019,614","27.70","27.90","27.50","27.90","+0.20","7,315",
"110/03/17","23,230,632","641,495,462","27.90","27.95","27.35","27.60","-0.30","8,358",
"110/03/18","95,890,448","2,744,160,564","28.10","29.25","28.10","28.40","+0.80","29,569",
"110/03/19","165,718,149","4,905,998,772","28.40","30.40","28.35","30.40","+2.00","44,466",
"110/03/22","68,542,222","2,046,988,355","30.60","30.65","29.20","30.05","-0.35","24,217",
"110/03/23","58,128,825","1,791,287,153","30.50","31.40","30.20","30.95","+0.90","18,816",
"110/03/24","45,037,523","1,402,655,226","31.10","31.80","30.55","31.00","+0.05","17,181",
"110/03/25","63,853,924","2,024,342,537","31.20","32.45","30.95","31.95","+0.95","22,022",
"110/03/26","70,344,832","2,172,642,423","31.95","32.00","30.50","30.80","-1.15","26,016",
"110/03/29","27,909,133","864,367,898","30.90","31.25","30.50","31.25","+0.45","10,658",
"110/03/30","25,713,202","808,808,251","31.45","31.75","31.25","31.60","+0.35","9,030",
"110/03/31","23,589,983","741,135,968","31.55","31.70","31.10","31.45","-0.15","9,124",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

