"108年04月 2395 研華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/04/01","977,981","247,871,712","257.00","258.50","251.50","254.00","-2.00","669",
"108/04/02","930,683","234,941,433","254.00","257.50","251.00","252.00","-2.00","802",
"108/04/03","1,129,226","280,686,808","250.00","251.50","247.00","248.00","-4.00","810",
"108/04/08","1,166,605","292,623,710","252.00","252.50","248.50","252.00","+4.00","689",
"108/04/09","777,039","194,096,250","250.00","250.50","249.00","250.00","-2.00","544",
"108/04/10","457,553","114,018,750","248.50","250.00","247.00","250.00"," 0.00","391",
"108/04/11","679,831","169,185,498","252.00","256.00","243.50","248.50","-1.50","598",
"108/04/12","426,957","106,118,379","250.00","250.50","246.50","248.50"," 0.00","348",
"108/04/15","477,732","118,694,415","250.00","250.50","247.00","248.00","-0.50","308",
"108/04/16","547,261","135,366,967","249.50","250.00","245.50","248.00"," 0.00","462",
"108/04/17","448,483","110,833,535","247.00","250.00","246.00","248.00"," 0.00","339",
"108/04/18","580,577","142,607,649","248.50","249.50","244.00","245.50","-2.50","354",
"108/04/19","326,969","79,829,975","247.50","247.50","242.50","242.50","-3.00","334",
"108/04/22","285,173","69,328,039","245.00","246.00","242.00","243.00","+0.50","280",
"108/04/23","396,791","96,186,213","242.00","244.00","240.50","244.00","+1.00","365",
"108/04/24","916,173","226,932,731","246.50","250.00","246.00","247.50","+3.50","679",
"108/04/25","749,046","188,310,062","247.50","253.00","247.50","253.00","+5.50","615",
"108/04/26","550,998","136,404,504","250.50","250.50","246.00","249.00","-4.00","482",
"108/04/29","301,271","75,172,250","249.00","251.00","246.50","251.00","+2.00","282",
"108/04/30","372,929","92,913,321","251.00","251.00","247.00","250.00","-1.00","331",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

