"10308る 2457 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/08/01","3,428,219","68,840,942","19.80","20.40","19.75","20.35","X0.00","1,894",
"103/08/04","1,763,479","35,976,339","20.35","20.60","20.10","20.50","+0.15","954",
"103/08/05","1,393,911","28,346,449","20.60","20.60","20.20","20.20","-0.30","819",
"103/08/06","3,636,960","71,386,708","20.20","20.35","19.10","19.65","-0.55","1,309",
"103/08/07","2,107,116","40,980,604","19.60","19.70","19.25","19.25","-0.40","943",
"103/08/08","1,955,431","37,614,272","19.25","19.60","19.00","19.60","+0.35","615",
"103/08/11","1,932,337","37,802,435","19.65","19.75","19.30","19.75","+0.15","623",
"103/08/12","1,107,171","21,840,109","19.60","19.90","19.60","19.60","-0.15","417",
"103/08/13","2,484,937","49,282,659","19.70","20.05","19.60","19.65","+0.05","865",
"103/08/14","1,106,210","21,759,293","19.80","19.90","19.50","19.55","-0.10","466",
"103/08/15","947,813","18,364,748","19.50","19.60","19.25","19.25","-0.30","329",
"103/08/18","2,206,500","41,909,197","19.15","19.30","18.70","19.15","-0.10","720",
"103/08/19","1,216,591","23,639,532","19.15","19.60","19.15","19.40","+0.25","423",
"103/08/20","1,538,049","29,594,694","19.50","19.50","19.00","19.35","-0.05","743",
"103/08/21","1,145,742","21,902,967","19.30","19.30","19.00","19.30","-0.05","727",
"103/08/22","1,784,578","34,699,376","19.35","19.75","19.20","19.75","+0.45","946",
"103/08/25","1,608,971","31,652,923","19.65","19.85","19.50","19.85","+0.10","800",
"103/08/26","1,301,320","25,749,728","19.90","19.90","19.65","19.90","+0.05","696",
"103/08/27","2,407,343","48,129,368","19.90","20.10","19.85","20.10","+0.20","1,129",
"103/08/28","1,506,096","30,199,328","20.15","20.15","19.90","20.15","+0.05","700",
"103/08/29","2,431,041","49,463,525","20.15","20.50","20.05","20.15"," 0.00","1,037",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

