"108年12月 2457 飛宏             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/12/02","1,039,513","9,822,131","9.50","9.64","9.35","9.43","-0.08","392",
"108/12/03","515,656","4,885,252","9.43","9.54","9.36","9.48","+0.05","201",
"108/12/04","2,421,463","23,707,951","9.47","9.99","9.47","9.92","+0.44","831",
"108/12/05","6,365,411","64,196,280","10.00","10.25","9.95","9.98","+0.06","2,088",
"108/12/06","1,603,472","15,900,305","10.00","10.10","9.80","9.88","-0.10","648",
"108/12/09","1,140,214","11,398,898","9.85","10.15","9.82","9.98","+0.10","432",
"108/12/10","1,406,928","14,114,128","9.88","10.15","9.88","10.00","+0.02","389",
"108/12/11","1,152,191","11,541,946","10.10","10.15","9.98","9.98","-0.02","333",
"108/12/12","1,098,208","10,935,402","9.93","10.05","9.87","9.88","-0.10","333",
"108/12/13","914,069","8,999,220","9.88","9.99","9.80","9.83","-0.05","313",
"108/12/16","508,705","5,040,463","9.84","9.98","9.84","9.93","+0.10","187",
"108/12/17","2,336,802","23,413,532","9.92","10.10","9.90","9.92","-0.01","570",
"108/12/18","576,944","5,730,471","9.95","9.99","9.87","9.92"," 0.00","275",
"108/12/19","480,533","4,767,993","9.95","9.99","9.87","9.90","-0.02","198",
"108/12/20","3,109,862","31,506,473","9.95","10.25","9.88","10.15","+0.25","939",
"108/12/23","4,427,546","45,681,234","10.40","10.60","10.10","10.10","-0.05","1,370",
"108/12/24","3,187,930","32,750,787","10.05","10.40","10.05","10.20","+0.10","1,020",
"108/12/25","947,939","9,688,128","10.20","10.30","10.15","10.20"," 0.00","281",
"108/12/26","1,291,773","13,286,931","10.25","10.40","10.20","10.25","+0.05","424",
"108/12/27","1,029,985","10,604,744","10.30","10.40","10.20","10.20","-0.05","308",
"108/12/30","1,074,687","11,083,888","10.20","10.40","10.20","10.30","+0.10","338",
"108/12/31","889,101","9,101,119","10.40","10.40","10.15","10.20","-0.10","260",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

