"110年07月 2498 宏達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","8,950,842","347,123,057","39.55","39.75","38.30","38.45","-0.85","4,670",
"110/07/02","4,783,894","186,274,484","38.80","39.30","38.60","38.85","+0.40","2,400",
"110/07/05","6,954,991","275,735,155","39.20","40.35","38.90","39.75","+0.90","3,593",
"110/07/06","9,584,253","370,314,032","39.55","39.65","38.25","38.30","-1.45","5,252",
"110/07/07","9,806,709","378,933,162","38.95","39.25","38.00","38.15","-0.15","4,712",
"110/07/08","9,286,945","355,335,588","38.75","39.05","37.60","37.95","-0.20","4,622",
"110/07/09","6,394,141","242,083,797","37.55","38.60","37.20","37.80","-0.15","3,382",
"110/07/12","5,420,660","205,794,241","38.05","38.35","37.75","37.80"," 0.00","2,598",
"110/07/13","9,839,483","371,287,361","38.15","38.70","35.95","37.40","-0.40","4,736",
"110/07/14","6,535,919","242,192,376","38.00","38.00","36.55","36.60","-0.80","3,562",
"110/07/15","6,685,363","250,502,652","36.95","38.20","36.60","38.05","+1.45","3,140",
"110/07/16","4,768,173","180,310,714","37.75","38.35","37.40","37.60","-0.45","2,179",
"110/07/19","4,098,370","153,605,230","37.45","37.75","37.15","37.50","-0.10","1,929",
"110/07/20","4,724,498","174,731,372","37.30","37.40","36.65","36.85","-0.65","2,604",
"110/07/21","5,618,120","205,858,806","37.30","37.40","36.00","36.45","-0.40","3,043",
"110/07/22","4,876,452","180,785,431","36.90","37.60","36.70","36.80","+0.35","2,588",
"110/07/23","6,175,220","231,180,736","37.50","38.00","36.90","37.20","+0.40","2,873",
"110/07/26","5,654,760","213,610,518","37.50","38.20","37.25","38.00","+0.80","2,636",
"110/07/27","5,640,698","211,075,906","38.15","38.20","36.75","36.75","-1.25","2,721",
"110/07/28","7,846,468","280,456,573","36.85","37.05","35.05","35.35","-1.40","4,177",
"110/07/29","10,090,739","376,113,173","36.00","38.30","36.00","37.90","+2.55","5,061",
"110/07/30","17,934,222","695,880,247","37.80","39.40","37.60","39.25","+1.35","8,322",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

