"10010る 2515 い             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/10/03","3,719,204","27,334,317","7.33","7.50","7.27","7.29","-0.24","833",
"100/10/04","11,259,973","80,063,021","7.11","7.29","7.00","7.11","-0.18","1,804",
"100/10/05","6,164,194","43,703,388","7.11","7.18","7.02","7.02","-0.09","1,195",
"100/10/06","3,623,846","25,990,076","7.20","7.23","7.12","7.15","+0.13","887",
"100/10/07","3,845,071","27,844,865","7.25","7.31","7.18","7.20","+0.05","850",
"100/10/11","22,034,916","166,674,830","7.35","7.70","7.32","7.70","+0.50","3,548",
"100/10/12","32,983,128","262,030,024","7.75","8.09","7.66","7.98","+0.28","6,104",
"100/10/13","15,781,750","127,984,837","8.10","8.22","8.00","8.01","+0.03","3,372",
"100/10/14","8,525,764","67,320,787","7.97","7.99","7.81","7.81","-0.20","1,742",
"100/10/17","16,264,033","133,081,658","8.05","8.30","7.95","8.19","+0.38","3,135",
"100/10/18","9,164,723","74,548,773","8.10","8.23","8.06","8.19"," 0.00","1,903",
"100/10/19","7,675,551","63,004,601","8.25","8.29","8.11","8.15","-0.04","1,708",
"100/10/20","5,591,568","45,498,343","8.15","8.19","8.09","8.09","-0.06","1,202",
"100/10/21","3,828,553","31,063,085","8.16","8.16","8.08","8.14","+0.05","895",
"100/10/24","22,141,290","185,248,594","8.25","8.52","8.20","8.50","+0.36","4,079",
"100/10/25","10,070,090","85,317,821","8.50","8.59","8.40","8.40","-0.10","2,113",
"100/10/26","14,262,521","121,661,734","8.35","8.68","8.31","8.58","+0.18","3,015",
"100/10/27","9,862,878","83,731,379","8.60","8.62","8.37","8.48","-0.10","1,882",
"100/10/28","15,066,616","130,241,049","8.78","8.78","8.53","8.53","+0.05","2,949",
"100/10/31","5,071,082","43,245,134","8.55","8.64","8.45","8.45","-0.08","1,138",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

