"108年05月 2515 中工             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/05/02","2,260,978","17,694,750","7.84","7.86","7.80","7.83","+0.03","494",
"108/05/03","1,965,878","15,418,769","7.84","7.87","7.82","7.85","+0.02","426",
"108/05/06","4,466,886","34,608,941","7.82","7.83","7.70","7.73","-0.12","1,203",
"108/05/07","1,908,971","14,833,620","7.76","7.80","7.74","7.79","+0.06","552",
"108/05/08","2,926,439","22,743,116","7.78","7.82","7.74","7.82","+0.03","641",
"108/05/09","11,629,005","91,880,132","7.85","7.94","7.81","7.91","+0.09","2,480",
"108/05/10","5,674,216","44,622,181","7.94","7.94","7.80","7.82","-0.09","1,249",
"108/05/13","4,287,862","33,662,235","7.82","7.90","7.80","7.82"," 0.00","855",
"108/05/14","10,829,130","85,043,551","7.76","7.93","7.74","7.90","+0.08","1,623",
"108/05/15","14,211,859","113,522,082","7.90","8.08","7.90","7.90"," 0.00","2,631",
"108/05/16","29,593,604","239,517,193","7.90","8.20","7.90","8.11","+0.21","4,984",
"108/05/17","24,667,393","201,728,908","8.25","8.29","8.03","8.08","-0.03","4,058",
"108/05/20","11,387,993","92,862,512","8.16","8.23","8.05","8.21","+0.13","2,722",
"108/05/21","9,140,362","74,913,217","8.21","8.24","8.14","8.21"," 0.00","2,044",
"108/05/22","20,949,400","173,606,473","8.21","8.38","8.17","8.31","+0.10","3,935",
"108/05/23","15,923,204","133,006,563","8.32","8.41","8.25","8.36","+0.05","3,707",
"108/05/24","13,210,585","111,103,289","8.34","8.48","8.31","8.42","+0.06","2,981",
"108/05/27","21,232,549","181,021,438","8.57","8.58","8.43","8.53","+0.11","3,923",
"108/05/28","26,116,221","221,940,190","8.58","8.65","8.32","8.32","-0.21","4,614",
"108/05/29","11,792,115","99,143,583","8.35","8.48","8.35","8.37","+0.05","2,488",
"108/05/30","8,120,807","68,283,502","8.44","8.49","8.36","8.41","+0.04","1,755",
"108/05/31","7,119,477","59,840,592","8.44","8.46","8.37","8.39","-0.02","1,601",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

