"110年10月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","163,128,685","18,122,355,394","116.00","116.50","108.00","108.00","-11.50","79,808",
"110/10/04","203,393,644","20,450,859,544","108.00","108.00","97.20","97.20","-10.80","99,037",
"110/10/05","203,335,863","19,451,236,550","91.30","101.00","90.70","98.20","+1.00","97,812",
"110/10/06","134,727,217","12,837,204,749","99.60","99.70","92.40","92.50","-5.70","69,166",
"110/10/07","142,426,703","13,966,228,950","96.10","101.00","95.40","98.50","+6.00","72,286",
"110/10/08","100,334,134","9,764,182,649","99.50","99.80","95.00","96.80","-1.70","52,288",
"110/10/12","145,444,246","13,072,146,702","93.80","94.60","87.20","87.40","-9.40","73,206",
"110/10/13","140,265,898","12,686,723,519","90.80","93.50","88.40","88.50","+1.10","66,707",
"110/10/14","153,410,564","14,035,231,934","91.20","94.70","87.30","92.40","+3.90","79,235",
"110/10/15","86,190,788","7,975,771,367","93.10","94.00","91.50","92.30","-0.10","40,881",
"110/10/18","175,099,924","15,190,216,166","90.40","90.40","83.60","89.00","-3.30","83,707",
"110/10/19","82,507,998","7,377,187,818","88.80","90.60","88.00","88.00","-1.00","44,195",
"110/10/20","67,461,836","6,057,481,464","89.50","91.20","88.10","88.30","+0.30","33,430",
"110/10/21","52,515,027","4,717,314,773","89.20","90.90","88.70","89.30","+1.00","26,048",
"110/10/22","108,029,760","9,337,863,805","89.60","90.00","84.60","85.10","-4.20","55,677",
"110/10/25","118,776,441","10,479,199,222","84.00","91.30","83.60","89.50","+4.40","59,047",
"110/10/26","75,382,034","6,798,982,331","90.50","91.60","88.50","90.40","+0.90","37,148",
"110/10/27","46,820,787","4,188,929,063","89.30","90.30","88.60","89.30","-1.10","24,422",
"110/10/28","85,763,452","7,857,461,891","89.40","93.50","89.40","90.60","+1.30","43,364",
"110/10/29","149,098,994","14,129,984,318","92.00","98.30","91.50","96.50","+5.90","71,309",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

