"104年04月 2634 漢翔             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"104/04/01","2,268,350","82,654,974","36.00","36.60","36.00","36.50","+0.45","1,273",
"104/04/02","1,532,669","56,119,667","36.60","36.80","36.50","36.50"," 0.00","724",
"104/04/07","3,384,867","125,357,638","37.05","37.20","36.80","37.10","+0.60","1,831",
"104/04/08","1,548,494","57,205,877","37.10","37.10","36.60","36.80","-0.30","573",
"104/04/09","3,612,526","134,160,416","36.65","37.45","36.65","37.25","+0.45","1,375",
"104/04/10","8,668,839","328,038,511","37.40","38.30","37.25","38.20","+0.95","3,465",
"104/04/13","3,789,448","144,993,837","38.70","38.70","37.85","38.20"," 0.00","1,534",
"104/04/14","4,344,629","167,219,350","38.20","38.80","37.95","38.55","+0.35","1,698",
"104/04/15","2,252,478","86,253,928","38.55","38.55","38.00","38.15","-0.40","1,010",
"104/04/16","3,169,277","121,698,234","38.15","38.70","38.15","38.40","+0.25","1,420",
"104/04/17","1,888,326","71,804,403","38.40","38.40","37.90","37.90","-0.50","851",
"104/04/20","2,069,900","77,951,743","37.80","38.20","37.10","38.05","+0.15","745",
"104/04/21","2,772,173","105,995,797","38.05","38.50","37.80","38.00","-0.05","1,484",
"104/04/22","11,789,552","468,230,785","38.25","40.65","38.20","40.40","+2.40","4,703",
"104/04/23","9,700,933","392,887,426","40.50","41.35","39.80","39.85","-0.55","4,322",
"104/04/24","4,049,206","160,877,855","39.85","40.10","39.20","39.85"," 0.00","1,819",
"104/04/27","4,442,314","179,046,560","40.10","40.70","39.70","40.50","+0.65","2,134",
"104/04/28","10,007,408","409,400,453","40.90","41.65","40.35","40.50"," 0.00","4,735",
"104/04/29","15,446,168","654,718,814","40.80","43.30","40.70","43.30","+2.80","6,332",
"104/04/30","23,338,926","1,050,311,650","44.00","46.00","43.85","44.45","+1.15","11,454",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

