"111年04月 2881 富邦金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/04/01","21,135,929","1,623,534,539","76.00","77.10","75.80","77.10","+0.60","8,760",
"111/04/06","18,985,111","1,462,574,780","76.40","77.50","76.30","77.50","+0.40","10,503",
"111/04/07","28,123,540","2,157,214,469","77.20","77.50","75.80","76.00","-1.50","14,663",
"111/04/08","13,632,068","1,037,028,214","76.10","76.60","75.80","76.30","+0.30","7,622",
"111/04/11","15,469,752","1,180,189,744","76.50","77.10","75.30","76.50","+0.20","8,365",
"111/04/12","16,887,409","1,280,596,908","76.30","76.40","75.50","75.80","-0.70","7,729",
"111/04/13","10,001,100","762,893,093","76.40","76.60","75.70","76.40","+0.60","4,578",
"111/04/14","10,138,722","768,522,108","76.70","76.70","75.60","75.60","-0.80","8,245",
"111/04/15","8,946,005","672,986,065","75.20","75.80","75.00","75.10","-0.50","5,817",
"111/04/18","21,222,608","1,571,427,355","74.60","74.80","73.50","73.90","-1.20","10,944",
"111/04/19","14,059,728","1,038,454,472","74.10","74.60","73.50","73.50","-0.40","7,515",
"111/04/20","17,130,391","1,272,502,847","73.80","74.90","73.70","74.90","+1.40","7,702",
"111/04/21","15,608,310","1,160,358,161","74.80","74.80","74.00","74.60","-0.30","8,020",
"111/04/22","20,370,723","1,525,309,839","73.80","75.90","73.70","75.90","+1.30","10,408",
"111/04/25","24,128,904","1,793,336,163","74.80","74.80","73.90","74.80","-1.10","11,297",
"111/04/26","13,260,239","992,933,575","74.80","75.10","74.50","75.10","+0.30","7,097",
"111/04/27","19,825,846","1,459,184,854","74.00","74.20","73.20","73.20","-1.90","14,037",
"111/04/28","16,863,000","1,233,920,627","73.50","73.80","72.70","73.40","+0.20","9,191",
"111/04/29","14,205,054","1,054,071,587","73.90","74.80","73.60","74.40","+1.00","5,965",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

