"107年06月 2885 元大金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/06/01","12,835,711","179,450,804","14.00","14.05","13.90","14.00","-0.10","3,582",
"107/06/04","23,064,135","323,138,503","14.00","14.10","13.95","14.10","+0.10","6,456",
"107/06/05","29,255,843","416,680,550","14.10","14.40","14.05","14.25","+0.15","5,520",
"107/06/06","43,155,030","624,322,583","14.30","14.60","14.25","14.45","+0.20","6,344",
"107/06/07","23,937,252","347,011,686","14.55","14.60","14.40","14.50","+0.05","4,092",
"107/06/08","22,534,885","328,385,918","14.55","14.65","14.50","14.60","+0.10","3,620",
"107/06/11","18,335,654","267,468,851","14.60","14.65","14.55","14.55","-0.05","2,987",
"107/06/12","14,976,778","217,799,426","14.55","14.60","14.50","14.55"," 0.00","3,146",
"107/06/13","11,574,817","167,937,529","14.50","14.55","14.50","14.50","-0.05","2,598",
"107/06/14","46,519,407","658,919,582","14.45","14.45","14.00","14.00","-0.50","7,901",
"107/06/15","34,217,358","483,663,694","14.05","14.15","14.05","14.15","+0.15","3,201",
"107/06/19","44,150,050","611,929,110","14.00","14.05","13.80","13.80","-0.35","8,379",
"107/06/20","16,345,404","227,226,581","13.90","14.00","13.80","13.90","+0.10","4,386",
"107/06/21","17,904,678","249,779,819","14.00","14.00","13.90","13.90"," 0.00","5,127",
"107/06/22","30,017,048","418,253,236","13.90","14.00","13.85","14.00","+0.10","5,433",
"107/06/25","10,268,802","142,963,452","13.90","14.00","13.85","13.85","-0.15","2,937",
"107/06/26","19,554,757","269,295,551","13.90","13.95","13.70","13.75","-0.10","4,335",
"107/06/27","26,328,402","361,331,823","13.85","13.85","13.70","13.70","-0.05","5,428",
"107/06/28","14,479,206","199,237,890","13.65","13.85","13.65","13.75","+0.05","4,186",
"107/06/29","17,267,681","239,327,291","13.85","13.95","13.75","13.90","+0.15","2,802",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

