"110年09月 2888 新光金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/09/01","41,087,614","389,025,440","9.42","9.52","9.41","9.48","-0.02","6,885",
"110/09/02","67,185,008","628,027,644","9.48","9.49","9.28","9.28","-0.20","12,188",
"110/09/03","37,574,199","353,139,410","9.34","9.46","9.33","9.38","+0.10","6,599",
"110/09/06","30,226,096","283,516,963","9.41","9.43","9.34","9.35","-0.03","5,422",
"110/09/07","24,471,066","228,358,168","9.36","9.38","9.30","9.34","-0.01","4,135",
"110/09/08","40,915,655","379,792,830","9.32","9.36","9.22","9.28","-0.06","8,294",
"110/09/09","29,460,075","272,502,774","9.26","9.28","9.21","9.28"," 0.00","3,925",
"110/09/10","85,071,646","803,050,955","9.35","9.51","9.34","9.43","+0.15","10,554",
"110/09/13","65,090,745","617,330,152","9.43","9.53","9.40","9.49","+0.06","9,866",
"110/09/14","41,656,932","395,543,026","9.52","9.53","9.46","9.50","+0.01","6,312",
"110/09/15","64,447,385","612,605,484","9.47","9.54","9.43","9.53","+0.03","9,830",
"110/09/16","78,679,814","754,727,536","9.54","9.64","9.54","9.60","+0.07","11,408",
"110/09/17","56,933,315","543,180,405","9.61","9.62","9.50","9.50","-0.10","7,218",
"110/09/22","118,224,822","1,093,665,384","9.30","9.31","9.15","9.22","-0.28","18,307",
"110/09/23","40,758,537","380,030,567","9.30","9.36","9.29","9.34","+0.12","5,605",
"110/09/24","34,253,523","321,212,673","9.39","9.42","9.33","9.35","+0.01","5,674",
"110/09/27","26,773,159","251,487,762","9.34","9.43","9.34","9.42","+0.07","4,649",
"110/09/28","21,886,513","205,332,601","9.38","9.42","9.30","9.39","-0.03","3,886",
"110/09/29","59,610,853","553,558,953","9.33","9.33","9.26","9.29","-0.10","10,796",
"110/09/30","37,997,625","353,156,367","9.28","9.34","9.26","9.31","+0.02","4,070",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

