"110年12月 2891 中信金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/12/01","28,585,312","703,773,449","24.25","24.85","24.20","24.85","+0.45","8,515",
"110/12/02","45,000,056","1,116,643,138","24.80","25.00","24.45","25.00","+0.15","12,996",
"110/12/03","48,836,349","1,224,443,068","25.00","25.20","24.85","25.20","+0.20","12,783",
"110/12/06","40,222,238","1,016,889,631","25.00","25.45","24.90","25.45","+0.25","14,201",
"110/12/07","56,262,968","1,448,363,326","25.45","26.00","25.25","26.00","+0.55","16,082",
"110/12/08","57,223,418","1,480,736,618","26.00","26.00","25.70","25.95","-0.05","16,815",
"110/12/09","20,321,303","525,243,572","25.90","26.05","25.70","25.90","-0.05","9,997",
"110/12/10","26,377,444","684,306,170","25.80","26.00","25.75","25.95","+0.05","27,317",
"110/12/13","30,041,541","775,875,089","25.95","25.95","25.70","25.85","-0.10","11,242",
"110/12/14","29,244,862","743,928,082","25.50","25.55","25.25","25.55","-0.30","10,146",
"110/12/15","21,503,177","547,277,958","25.40","25.55","25.35","25.35","-0.20","7,129",
"110/12/16","25,608,405","651,353,132","25.35","25.60","25.30","25.50","+0.15","7,251",
"110/12/17","47,885,174","1,228,390,529","25.65","25.85","25.50","25.60","+0.10","7,695",
"110/12/20","22,235,007","563,805,795","25.45","25.60","25.25","25.35","-0.25","7,375",
"110/12/21","26,843,864","686,587,403","25.35","25.75","25.25","25.65","+0.30","6,202",
"110/12/22","29,062,641","750,962,991","25.80","25.95","25.70","25.80","+0.15","8,116",
"110/12/23","25,264,782","652,565,902","25.90","25.90","25.70","25.90","+0.10","6,277",
"110/12/24","11,730,849","303,668,149","25.95","25.95","25.80","25.85","-0.05","3,819",
"110/12/27","12,556,709","324,288,511","25.85","25.90","25.75","25.80","-0.05","3,503",
"110/12/28","20,572,259","532,525,341","25.80","25.95","25.80","25.95","+0.15","5,588",
"110/12/29","28,502,003","741,203,888","26.00","26.10","25.90","26.10","+0.15","7,834",
"110/12/30","16,583,325","431,225,987","26.10","26.10","25.95","25.95","-0.15","5,720",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

