"108年11月 3035 智原             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/11/01","2,709,764","155,785,826","58.00","58.00","57.10","57.40","-0.60","2,004",
"108/11/04","2,441,338","141,690,929","57.60","58.40","57.50","58.00","+0.60","1,716",
"108/11/05","2,975,055","175,033,715","58.50","59.40","58.50","58.70","+0.70","2,005",
"108/11/06","2,101,173","123,081,860","58.70","59.30","58.10","58.20","-0.50","1,463",
"108/11/07","2,120,161","122,017,254","58.40","58.70","57.10","57.40","-0.80","1,565",
"108/11/08","4,433,480","247,684,319","56.70","56.80","55.20","55.90","-1.50","3,024",
"108/11/11","2,589,964","141,431,544","55.90","55.90","54.00","54.10","-1.80","1,773",
"108/11/12","1,125,446","61,509,833","54.30","54.90","54.30","54.90","+0.80","905",
"108/11/13","1,791,514","99,048,870","54.90","55.70","54.50","55.40","+0.50","1,261",
"108/11/14","1,698,461","92,652,825","55.20","55.50","54.20","54.20","-1.20","1,218",
"108/11/15","3,288,861","180,943,530","54.60","55.80","54.30","55.10","+0.90","2,245",
"108/11/18","1,937,543","107,445,769","55.40","56.10","55.10","55.20","+0.10","1,261",
"108/11/19","1,050,241","58,058,576","55.20","55.70","55.00","55.10","-0.10","788",
"108/11/20","1,798,530","99,276,811","55.40","55.80","54.30","55.50","+0.40","1,300",
"108/11/21","1,053,700","57,942,037","55.10","55.50","54.60","55.10","-0.40","828",
"108/11/22","1,827,101","101,027,671","55.50","55.70","54.80","55.00","-0.10","1,271",
"108/11/25","2,358,095","131,482,286","55.00","56.40","55.00","55.70","+0.70","1,502",
"108/11/26","2,120,187","119,183,703","56.10","56.60","55.70","56.50","+0.80","1,331",
"108/11/27","1,349,303","75,853,699","56.50","56.50","56.00","56.10","-0.40","911",
"108/11/28","1,381,071","77,515,976","56.30","56.50","55.70","56.00","-0.10","863",
"108/11/29","3,957,701","222,415,802","56.40","57.10","55.50","55.50","-0.50","2,413",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

