"111年06月 3037 欣興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/06/01","38,507,930","7,979,712,835","210.00","211.50","205.00","205.50","-10.00","49,807",
"111/06/02","27,299,492","5,559,444,927","202.50","206.50","202.00","203.50","-2.00","20,228",
"111/06/06","18,922,506","3,877,473,047","205.50","207.50","202.50","203.50"," 0.00","10,054",
"111/06/07","19,735,346","3,966,463,942","204.50","205.50","199.00","200.00","-3.50","16,495",
"111/06/08","19,618,751","3,994,967,221","203.00","206.00","201.00","204.50","+4.50","12,545",
"111/06/09","22,830,348","4,729,299,552","206.00","209.50","205.00","206.50","+2.00","19,123",
"111/06/10","12,078,408","2,478,702,206","204.50","207.50","203.00","206.50"," 0.00","16,979",
"111/06/13","19,853,263","3,979,247,993","200.50","202.50","199.00","200.00","-6.50","14,173",
"111/06/14","18,938,842","3,775,700,979","199.50","202.50","197.00","201.50","+1.50","13,173",
"111/06/15","51,421,524","9,804,059,112","201.00","203.00","182.00","183.00","-18.50","42,218",
"111/06/16","126,625,079","22,122,983,504","182.50","184.50","165.50","165.50","-17.50","76,419",
"111/06/17","92,286,949","15,060,099,554","165.00","167.50","158.00","166.00","+0.50","51,082",
"111/06/20","38,596,252","6,227,658,481","166.50","167.00","156.50","157.50","-8.50","27,686",
"111/06/21","49,578,687","8,232,168,428","164.00","170.00","162.50","169.50","+12.00","31,721",
"111/06/22","42,796,843","6,899,320,949","168.00","168.00","157.50","158.00","-11.50","32,070",
"111/06/23","30,103,882","4,778,212,144","162.00","162.00","155.00","159.00","+1.00","19,914",
"111/06/24","27,606,324","4,455,042,507","161.50","164.50","158.50","160.50","+1.50","21,779",
"111/06/27","30,111,669","5,055,130,598","164.50","170.50","164.50","167.50","+7.00","23,238",
"111/06/28","32,833,377","5,271,831,573","165.50","166.00","157.00","161.00","-6.50","24,209",
"111/06/29","22,726,752","3,662,143,153","159.00","164.00","157.50","162.50","+1.50","13,400",
"111/06/30","22,700,123","3,605,316,630","161.00","161.50","156.50","158.50","-4.00","17,253",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

