"103年09月 3049 和鑫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/09/01","964,064","8,041,967","8.35","8.40","8.31","8.33","-0.01","365",
"103/09/02","1,197,472","9,888,027","8.39","8.39","8.22","8.23","-0.10","413",
"103/09/03","1,827,915","14,995,934","8.24","8.27","8.18","8.19","-0.04","514",
"103/09/04","1,267,735","10,412,765","8.20","8.24","8.19","8.22","+0.03","331",
"103/09/05","14,339,642","125,318,392","8.79","8.79","8.61","8.73","+0.51","3,461",
"103/09/09","4,095,193","34,887,542","8.63","8.63","8.45","8.53","-0.20","1,160",
"103/09/10","2,507,608","21,168,708","8.50","8.52","8.40","8.43","-0.10","670",
"103/09/11","1,706,756","14,339,028","8.43","8.48","8.38","8.39","-0.04","533",
"103/09/12","3,244,688","27,603,571","8.47","8.57","8.45","8.50","+0.11","993",
"103/09/15","1,806,322","15,155,730","8.43","8.46","8.34","8.40","-0.10","567",
"103/09/16","1,961,053","16,259,651","8.38","8.40","8.22","8.23","-0.17","636",
"103/09/17","1,778,227","14,731,596","8.24","8.35","8.24","8.32","+0.09","607",
"103/09/18","1,422,694","11,753,719","8.32","8.33","8.24","8.26","-0.06","504",
"103/09/19","1,343,679","11,087,348","8.30","8.30","8.23","8.25","-0.01","436",
"103/09/22","1,418,663","11,657,423","8.25","8.28","8.20","8.20","-0.05","461",
"103/09/23","1,125,499","9,244,990","8.20","8.25","8.20","8.22","+0.02","369",
"103/09/24","2,718,476","22,285,615","8.22","8.24","8.18","8.18","-0.04","719",
"103/09/25","10,625,464","81,926,410","8.20","8.21","7.61","7.61","-0.57","2,289",
"103/09/26","2,459,142","18,203,483","7.50","7.50","7.22","7.50","-0.11","742",
"103/09/29","1,222,585","9,190,734","7.37","7.56","7.37","7.55","+0.05","389",
"103/09/30","2,549,518","18,898,510","7.59","7.60","7.25","7.48","-0.07","842",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

