"10006る 3189 春河             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/06/01","9,510,405","1,236,279,712","129.00","133.00","126.00","126.50","-2.50","5,269",
"100/06/02","5,519,636","710,828,180","124.00","131.50","124.00","130.00","+3.50","3,359",
"100/06/03","4,411,876","570,914,252","130.00","133.00","127.00","127.50","-2.50","2,402",
"100/06/07","4,063,590","510,673,951","127.50","129.00","125.00","125.00","-2.50","2,117",
"100/06/08","4,119,839","511,955,773","124.00","126.50","123.00","123.00","-2.00","2,156",
"100/06/09","6,708,833","852,369,957","124.50","129.50","124.00","129.00","+6.00","3,438",
"100/06/10","5,256,355","650,374,600","129.00","129.50","120.00","120.00","-9.00","2,755",
"100/06/13","6,960,374","814,473,193","119.00","119.00","114.50","115.50","-4.50","3,631",
"100/06/14","6,754,266","817,089,846","117.50","123.50","117.00","123.50","+8.00","3,403",
"100/06/15","7,633,825","908,870,350","123.50","124.00","115.50","118.00","-5.50","4,181",
"100/06/16","6,455,463","736,765,084","115.00","116.50","112.00","112.50","-5.50","3,120",
"100/06/17","4,312,361","496,157,154","115.00","117.00","114.00","114.00","+1.50","2,509",
"100/06/20","3,297,476","379,188,788","116.00","118.50","112.50","113.00","-1.00","2,095",
"100/06/21","7,736,557","906,848,057","115.00","119.50","115.00","119.50","+6.50","3,643",
"100/06/22","7,746,288","961,521,424","123.00","127.00","122.50","123.00","+3.50","4,155",
"100/06/23","9,069,151","1,131,308,375","123.00","126.50","122.00","125.00","+2.00","4,228",
"100/06/24","4,538,845","556,318,166","126.00","126.00","120.50","121.50","-3.50","2,387",
"100/06/27","4,762,060","571,542,080","120.00","122.50","118.00","118.00","-3.50","2,701",
"100/06/28","3,460,906","417,401,720","120.00","122.00","120.00","120.00","+2.00","1,984",
"100/06/29","2,381,199","287,393,380","121.50","122.00","119.00","120.00"," 0.00","1,592",
"100/06/30","6,777,419","793,234,442","120.50","121.50","114.50","117.00","-3.00","3,190",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

