"10309る 3356 案             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/09/01","438,013","52,485,060","119.50","121.00","118.50","119.00","-0.50","392",
"103/09/02","209,230","24,715,140","119.00","119.00","117.50","117.50","-1.50","236",
"103/09/03","290,263","34,140,896","117.50","119.00","116.50","117.00","-0.50","275",
"103/09/04","396,685","45,898,275","117.00","117.00","115.00","115.00","-2.00","342",
"103/09/05","456,551","52,203,630","115.00","115.50","113.50","115.50","+0.50","423",
"103/09/09","266,999","30,661,885","115.50","115.50","114.50","114.50","-1.00","262",
"103/09/10","343,397","38,989,954","114.00","114.00","113.00","113.50","-1.00","296",
"103/09/11","556,116","62,676,041","113.00","114.50","111.00","112.00","-1.50","512",
"103/09/12","654,310","71,917,100","112.00","112.00","109.00","109.00","-3.00","571",
"103/09/15","446,903","48,024,057","107.50","109.00","106.50","106.50","-2.50","396",
"103/09/16","519,104","54,304,420","106.50","106.50","103.00","104.00","-2.50","463",
"103/09/17","370,641","39,182,446","104.00","107.00","104.00","105.50","+1.50","338",
"103/09/18","293,066","31,616,128","106.50","108.50","106.50","108.00","+2.50","284",
"103/09/19","182,984","19,773,260","108.00","109.00","107.00","108.50","+0.50","186",
"103/09/22","149,776","16,079,308","108.00","108.50","106.50","107.50","-1.00","154",
"103/09/23","146,190","15,676,924","107.50","108.00","106.50","106.50","-1.00","131",
"103/09/24","204,178","21,962,130","106.50","108.50","106.50","107.00","+0.50","202",
"103/09/25","235,758","24,998,606","107.00","108.00","105.00","105.50","-1.50","205",
"103/09/26","153,464","16,151,448","104.50","106.50","104.00","105.00","-0.50","153",
"103/09/29","178,941","18,689,805","105.00","105.50","103.50","104.50","-0.50","146",
"103/09/30","200,051","20,776,855","104.50","104.50","103.00","104.00","-0.50","170",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

