"109年01月 3356 奇偶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/01/02","184,297","5,521,845","30.00","30.10","29.80","29.90","-0.10","137",
"109/01/03","256,300","7,672,938","30.20","30.35","29.70","29.80","-0.10","180",
"109/01/06","276,059","8,118,472","29.70","29.70","29.25","29.25","-0.55","201",
"109/01/07","160,736","4,656,204","29.30","29.40","28.80","28.90","-0.35","142",
"109/01/08","300,230","8,502,571","28.70","28.70","28.10","28.30","-0.60","211",
"109/01/09","109,280","3,151,981","28.40","29.00","28.40","28.85","+0.55","103",
"109/01/10","113,483","3,242,109","28.70","28.85","28.30","28.85"," 0.00","91",
"109/01/13","149,270","4,283,805","28.85","28.95","28.50","28.50","-0.35","106",
"109/01/14","113,604","3,266,158","28.60","28.85","28.60","28.75","+0.25","92",
"109/01/15","174,898","5,023,640","28.90","29.10","28.40","28.50","-0.25","130",
"109/01/16","67,154","1,923,886","28.50","28.80","28.50","28.60","+0.10","58",
"109/01/17","355,918","10,259,737","29.00","29.30","28.60","28.75","+0.15","173",
"109/01/20","121,703","3,522,222","28.80","29.30","28.80","28.90","+0.15","100",
"109/01/30","586,966","15,427,311","26.10","26.95","26.05","26.05","-2.85","360",
"109/01/31","272,604","7,050,624","25.70","26.05","25.65","25.90","-0.15","206",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

