"108年03月 3532 台勝科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","1,005,915","120,101,800","120.50","121.50","118.50","119.00","-0.50","828",
"108/03/05","2,249,401","262,759,211","117.00","118.50","116.00","116.00","-3.00","1,651",
"108/03/06","2,337,149","268,125,486","114.00","117.00","112.50","113.00","-3.00","1,891",
"108/03/07","1,917,380","213,122,983","112.00","113.00","109.50","110.00","-3.00","1,582",
"108/03/08","1,912,523","210,748,308","110.00","112.00","108.00","110.50","+0.50","1,513",
"108/03/11","1,180,624","131,967,888","110.00","113.00","110.00","112.00","+1.50","877",
"108/03/12","1,268,719","143,558,028","113.50","114.50","111.50","111.50","-0.50","1,013",
"108/03/13","714,965","79,862,591","111.50","112.50","111.00","111.50"," 0.00","599",
"108/03/14","1,316,987","146,045,570","112.00","112.50","109.50","110.00","-1.50","1,014",
"108/03/15","938,604","105,321,648","110.50","113.50","110.50","112.00","+2.00","821",
"108/03/18","1,006,120","111,737,754","112.00","113.00","110.00","110.50","-1.50","774",
"108/03/19","1,358,643","152,197,873","111.00","113.00","110.50","111.50","+1.00","1,048",
"108/03/20","5,196,293","607,775,574","116.00","118.50","115.50","118.00","+6.50","3,910",
"108/03/21","2,196,068","257,293,914","119.00","119.00","116.00","116.50","-1.50","1,827",
"108/03/22","1,114,770","130,383,699","117.50","118.00","116.00","116.50"," 0.00","880",
"108/03/25","1,369,948","156,321,520","114.50","116.00","113.00","115.50","-1.00","921",
"108/03/26","800,335","92,689,025","116.50","117.00","115.00","115.00","-0.50","737",
"108/03/27","376,362","43,503,308","115.50","116.50","115.00","115.50","+0.50","317",
"108/03/28","518,763","60,157,622","115.00","117.00","114.50","115.50"," 0.00","436",
"108/03/29","872,028","101,026,248","116.00","117.00","115.00","117.00","+1.50","681",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

