"110年10月 4148 全宇生技-KY      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","50,114","1,790,143","36.50","36.50","35.10","35.40","-1.60","45",
"110/10/04","194,310","7,307,772","35.40","38.90","35.40","37.00","+1.60","184",
"110/10/05","462,070","17,855,715","37.00","39.50","37.00","39.35","+2.35","319",
"110/10/06","211,010","8,219,893","39.80","40.20","37.45","37.45","-1.90","164",
"110/10/07","78,090","2,916,999","38.00","38.05","36.70","37.50","+0.05","71",
"110/10/08","56,000","2,119,250","37.95","38.50","37.40","37.40","-0.10","41",
"110/10/12","54,000","2,039,950","37.40","38.25","37.40","38.25","+0.85","35",
"110/10/13","90,000","3,451,200","39.00","39.80","37.10","37.10","-1.15","79",
"110/10/14","16,001","589,940","37.00","37.00","36.70","36.70","-0.40","15",
"110/10/15","61,000","2,277,300","37.00","38.00","36.70","37.80","+1.10","26",
"110/10/18","55,001","2,101,688","37.50","38.65","37.35","38.30","+0.50","46",
"110/10/19","386,120","15,394,824","38.50","42.05","38.30","38.70","+0.40","248",
"110/10/20","59,005","2,308,253","39.70","39.85","38.55","39.00","+0.30","49",
"110/10/21","80,000","3,098,150","39.20","39.20","38.15","38.60","-0.40","58",
"110/10/22","53,000","2,010,500","37.95","38.60","37.00","38.50","-0.10","47",
"110/10/25","37,003","1,408,217","38.25","38.95","37.80","37.90","-0.60","28",
"110/10/26","26,002","988,326","37.95","38.30","37.85","38.30","+0.40","18",
"110/10/27","115,000","4,370,000","38.00","38.15","37.80","38.15","-0.15","41",
"110/10/28","55,000","2,070,350","37.80","37.80","37.50","37.55","-0.60","32",
"110/10/29","37,000","1,390,150","37.50","38.00","37.35","37.65","+0.10","26",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

