"110年05月 4906 正文             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","7,439,209","249,585,415","34.55","34.55","33.05","33.10","-1.45","3,288",
"110/05/04","7,034,007","224,393,739","33.50","33.50","30.60","31.95","-1.15","3,275",
"110/05/05","2,989,720","95,557,588","32.05","32.50","31.50","31.50","-0.45","1,652",
"110/05/06","2,929,196","92,884,893","31.80","32.20","31.20","31.55","+0.05","1,623",
"110/05/07","4,960,810","160,581,770","31.85","32.80","31.85","32.80","+1.25","2,076",
"110/05/10","3,945,594","126,762,587","33.00","33.00","32.00","32.20","-0.60","1,790",
"110/05/11","6,635,687","205,756,618","32.00","32.00","30.00","30.70","-1.50","2,791",
"110/05/12","10,776,674","309,265,707","30.05","30.50","27.65","28.15","-2.55","4,210",
"110/05/13","5,893,396","162,770,405","27.50","28.60","25.55","27.60","-0.55","2,583",
"110/05/14","4,505,384","127,300,826","28.60","29.10","27.50","27.90","+0.30","2,065",
"110/05/17","5,656,750","148,815,241","26.00","27.25","25.70","26.00","-1.90","2,417",
"110/05/18","4,666,524","130,723,047","26.75","28.60","26.70","28.60","+2.60","1,921",
"110/05/19","3,490,423","99,987,122","28.60","29.00","28.30","28.75","+0.15","1,625",
"110/05/20","2,293,702","65,340,203","28.70","29.15","28.20","28.40","-0.35","1,135",
"110/05/21","1,519,827","43,666,205","28.80","29.00","28.50","28.75","+0.35","773",
"110/05/24","1,688,723","48,359,179","28.50","29.20","28.30","29.00","+0.25","811",
"110/05/25","4,163,203","121,659,199","29.35","29.45","28.95","29.00"," 0.00","1,790",
"110/05/26","1,804,613","52,772,666","29.15","29.45","28.95","29.30","+0.30","871",
"110/05/27","1,756,096","51,296,696","29.20","29.45","28.85","29.35","+0.05","883",
"110/05/28","2,408,835","71,390,304","29.60","29.85","29.45","29.80","+0.45","1,109",
"110/05/31","2,555,828","75,924,495","30.10","30.15","29.80","30.05","+0.25","1,091",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

