"109年09月 4916 事欣科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","131,304","2,880,591","21.90","22.10","21.80","21.85","+0.05","86",
"109/09/02","136,100","2,973,300","21.90","22.20","21.60","21.70","-0.15","95",
"109/09/03","204,300","4,423,412","21.75","21.85","21.60","21.60","-0.10","126",
"109/09/04","161,601","3,476,250","21.50","21.80","21.30","21.60"," 0.00","93",
"109/09/07","149,101","3,233,640","21.65","21.90","21.40","21.55","-0.05","83",
"109/09/08","137,502","2,971,090","21.60","21.75","21.50","21.60","+0.05","93",
"109/09/09","115,201","2,470,170","21.50","21.55","21.35","21.50","-0.10","75",
"109/09/10","149,101","3,212,687","21.50","21.70","21.40","21.45","-0.05","99",
"109/09/11","206,001","4,345,821","21.40","21.40","20.95","21.00","-0.45","137",
"109/09/14","141,201","2,976,128","21.00","21.20","21.00","21.10","+0.10","82",
"109/09/15","119,620","2,521,498","21.25","21.25","21.00","21.05","-0.05","85",
"109/09/16","91,202","1,923,311","21.00","21.20","21.00","21.05"," 0.00","62",
"109/09/17","62,101","1,314,450","21.00","21.25","21.00","21.20","+0.15","44",
"109/09/18","114,200","2,431,458","21.20","21.40","21.20","21.30","+0.10","82",
"109/09/21","199,300","4,257,829","21.50","21.50","21.20","21.20","-0.10","115",
"109/09/22","132,092","2,773,458","21.15","21.20","20.90","21.00","-0.20","76",
"109/09/23","103,097","2,155,311","21.10","21.10","20.80","20.80","-0.20","63",
"109/09/24","200,769","4,118,763","20.80","20.80","20.35","20.45","-0.35","129",
"109/09/25","164,536","3,327,976","20.40","20.50","20.05","20.15","-0.30","113",
"109/09/28","55,305","1,120,021","20.15","20.40","20.15","20.20","+0.05","41",
"109/09/29","53,200","1,076,100","20.55","20.55","20.15","20.20"," 0.00","33",
"109/09/30","17,002","346,240","20.25","20.50","20.25","20.30","+0.10","15",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

