"10403る 4919 穝             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/03/02","557,400","16,084,570","28.70","29.05","28.60","28.80","+0.25","355",
"104/03/03","1,519,251","44,654,365","29.00","29.70","29.00","29.30","+0.50","797",
"104/03/04","1,201,400","35,203,449","29.25","29.60","29.00","29.00","-0.30","506",
"104/03/05","239,000","6,950,700","29.25","29.25","29.00","29.15","+0.15","160",
"104/03/06","413,000","12,024,000","29.15","29.30","29.00","29.00","-0.15","239",
"104/03/09","363,000","10,443,050","29.00","29.00","28.70","28.85","-0.15","193",
"104/03/10","226,000","6,523,300","28.85","29.05","28.70","28.70","-0.15","134",
"104/03/11","218,006","6,211,072","28.60","28.60","28.40","28.50","-0.20","145",
"104/03/12","423,000","12,216,800","28.50","29.10","28.50","28.85","+0.35","225",
"104/03/13","920,080","27,108,581","29.65","29.65","29.15","29.15","+0.30","510",
"104/03/16","551,000","16,190,550","29.40","29.65","29.15","29.15"," 0.00","303",
"104/03/17","295,555","8,627,821","29.50","29.50","29.05","29.05","-0.10","183",
"104/03/18","279,000","8,081,400","29.15","29.20","28.75","28.80","-0.25","192",
"104/03/19","329,100","9,530,655","29.00","29.15","28.80","28.90","+0.10","207",
"104/03/20","2,418,835","72,202,406","29.00","30.45","28.80","30.10","+1.20","1,119",
"104/03/23","1,069,813","32,330,977","30.70","30.70","29.75","30.05","-0.05","517",
"104/03/24","2,945,089","90,817,109","30.05","31.20","30.00","31.00","+0.95","1,376",
"104/03/25","1,037,200","31,896,209","31.00","31.45","30.35","30.45","-0.55","541",
"104/03/26","512,100","15,440,714","30.00","30.40","29.90","30.15","-0.30","310",
"104/03/27","1,072,477","31,693,474","30.20","30.20","29.20","29.30","-0.85","520",
"104/03/30","348,200","10,238,020","29.40","29.60","29.30","29.35","+0.05","205",
"104/03/31","1,017,000","29,437,550","29.40","29.55","28.80","28.85","-0.50","658",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

