"112年09月 5871 中租-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/09/01","4,679,709","831,391,448","176.00","179.00","175.50","178.50","+1.00","3,089",
"112/09/04","2,606,883","469,793,632","178.50","181.50","177.50","181.50","+3.00","2,931",
"112/09/05","2,113,106","379,187,897","180.50","181.00","179.00","179.00","-2.50","3,248",
"112/09/06","2,920,011","522,769,511","178.50","180.00","178.00","179.50","+0.50","2,987",
"112/09/07","4,581,668","805,036,485","177.00","178.00","174.00","174.50","-5.00","8,905",
"112/09/08","4,811,963","829,364,547","171.50","174.00","170.50","172.50","-2.00","6,725",
"112/09/11","3,535,281","618,447,289","173.50","176.50","173.00","175.00","+2.50","2,901",
"112/09/12","2,768,840","484,673,344","174.50","176.00","173.00","176.00","+1.00","2,621",
"112/09/13","2,553,927","449,992,564","175.50","177.00","174.50","177.00","+1.00","2,535",
"112/09/14","2,630,697","469,492,461","177.50","180.00","177.00","180.00","+3.00","2,805",
"112/09/15","5,923,371","1,083,513,128","182.50","185.00","182.00","182.50","+2.50","4,589",
"112/09/18","2,439,393","445,957,703","182.00","184.00","181.50","183.00","+0.50","3,137",
"112/09/19","3,171,753","581,606,853","182.50","184.50","182.00","184.00","+1.00","3,124",
"112/09/20","3,245,727","586,717,910","184.00","184.00","179.00","180.00","-4.00","3,889",
"112/09/21","4,145,030","731,535,033","179.00","180.00","175.50","175.50","-4.50","6,066",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

