"110年01月 5876 上海商銀         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/01/04","6,364,140","262,436,956","41.20","41.50","40.50","41.35","+0.25","2,841",
"110/01/05","3,533,848","145,723,324","41.40","41.40","41.10","41.35"," 0.00","1,325",
"110/01/06","4,510,965","185,399,620","41.35","41.40","40.60","41.00","-0.35","1,944",
"110/01/07","5,533,359","229,428,856","41.00","41.70","41.00","41.45","+0.45","2,028",
"110/01/08","10,482,371","441,722,617","41.50","42.55","41.50","42.50","+1.05","3,785",
"110/01/11","4,152,246","175,268,041","42.10","42.50","42.00","42.45","-0.05","1,869",
"110/01/12","4,155,466","174,294,560","42.05","42.35","41.75","42.00","-0.45","1,713",
"110/01/13","4,861,161","204,932,278","41.70","42.35","41.70","42.20","+0.20","1,579",
"110/01/14","3,067,354","129,005,853","42.20","42.20","41.85","42.20"," 0.00","1,498",
"110/01/15","3,330,862","139,605,076","42.00","42.20","41.75","41.75","-0.45","1,701",
"110/01/18","4,235,144","175,021,942","41.40","42.00","41.05","41.20","-0.55","1,755",
"110/01/19","4,272,172","176,130,345","41.05","41.50","40.95","41.10","-0.10","1,431",
"110/01/20","11,801,741","469,714,770","40.95","41.00","39.00","39.00","-2.10","4,604",
"110/01/21","5,833,229","230,834,356","39.35","40.20","39.10","39.10","+0.10","2,809",
"110/01/22","5,226,900","204,392,834","39.50","39.55","38.90","39.00","-0.10","1,999",
"110/01/25","6,071,503","236,619,839","39.20","39.25","38.90","38.90","-0.10","2,682",
"110/01/26","5,588,603","216,161,042","38.80","38.95","38.60","38.60","-0.30","2,417",
"110/01/27","5,065,982","196,815,639","38.75","39.40","38.60","38.60"," 0.00","1,755",
"110/01/28","6,454,829","248,078,760","38.50","38.90","38.20","38.25","-0.35","2,839",
"110/01/29","9,988,556","378,030,452","38.10","38.30","37.40","37.40","-0.85","3,875",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

