"112年01月 6116 彩晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/01/03","3,232,254","36,249,603","11.20","11.30","11.10","11.20","+0.05","1,085",
"112/01/04","4,715,253","53,296,312","11.15","11.40","11.15","11.30","+0.10","1,467",
"112/01/05","4,025,920","45,568,321","11.35","11.40","11.25","11.25","-0.05","1,149",
"112/01/06","8,013,994","91,609,403","11.25","11.50","11.25","11.50","+0.25","1,907",
"112/01/09","7,637,914","87,978,522","11.55","11.60","11.45","11.55","+0.05","1,573",
"112/01/10","4,498,699","51,744,321","11.55","11.60","11.40","11.50","-0.05","1,103",
"112/01/11","6,862,445","79,504,430","11.50","11.65","11.50","11.60","+0.10","1,935",
"112/01/12","4,337,764","50,155,380","11.65","11.70","11.45","11.45","-0.15","1,272",
"112/01/13","3,527,513","40,338,930","11.50","11.50","11.35","11.35","-0.10","1,068",
"112/01/16","2,663,300","30,309,801","11.40","11.45","11.30","11.30","-0.05","895",
"112/01/17","3,243,359","36,591,957","11.35","11.40","11.25","11.25","-0.05","939",
"112/01/30","29,120,552","346,002,682","11.45","12.10","11.40","11.90","+0.65","6,203",
"112/01/31","38,353,777","474,725,405","11.80","12.75","11.80","12.10","+0.20","9,426",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

