"10411る 6120 笷笲             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/11/02","877,439","11,454,682","12.95","13.25","12.80","13.00","+0.15","485",
"104/11/03","1,235,773","16,007,715","13.10","13.15","12.85","12.90","-0.10","594",
"104/11/04","2,534,291","33,305,448","13.00","13.30","12.80","13.00","+0.10","585",
"104/11/05","658,232","8,627,585","13.00","13.20","13.00","13.20","+0.20","294",
"104/11/06","1,304,877","16,714,670","13.00","13.00","12.70","12.70","-0.50","576",
"104/11/09","1,355,472","16,716,251","12.80","12.80","12.15","12.15","-0.55","618",
"104/11/10","1,084,592","12,946,092","12.15","12.15","11.85","12.00","-0.15","402",
"104/11/11","1,169,454","13,742,236","12.00","12.05","11.60","11.60","-0.40","563",
"104/11/12","4,664,967","50,194,536","11.65","11.80","10.45","10.95","-0.65","1,669",
"104/11/13","1,261,002","13,548,418","11.00","11.00","10.60","10.65","-0.30","632",
"104/11/16","1,901,648","19,873,422","10.70","10.85","10.30","10.30","-0.35","717",
"104/11/17","1,372,443","14,707,858","10.55","10.85","10.55","10.80","+0.50","620",
"104/11/18","3,116,931","33,966,861","10.90","11.05","10.65","10.70","-0.10","991",
"104/11/19","940,951","10,180,169","10.75","10.95","10.75","10.80","+0.10","600",
"104/11/20","815,802","8,823,929","10.85","10.95","10.70","10.75","-0.05","399",
"104/11/23","2,868,096","31,040,682","10.80","10.95","10.50","10.90","+0.15","658",
"104/11/24","797,404","8,523,720","10.90","10.90","10.60","10.65","-0.25","413",
"104/11/25","909,764","9,468,616","10.65","10.65","10.30","10.35","-0.30","449",
"104/11/26","713,802","7,461,836","10.40","10.55","10.35","10.45","+0.10","360",
"104/11/27","482,915","5,055,649","10.45","10.60","10.40","10.45"," 0.00","262",
"104/11/30","695,006","7,277,660","10.40","10.65","10.30","10.65","+0.20","294",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

