"109年10月 6120 達運             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/10/05","516,989","5,704,815","10.95","11.20","10.85","11.10","+0.15","368",
"109/10/06","708,497","7,969,062","11.20","11.35","11.10","11.25","+0.15","442",
"109/10/07","425,006","4,770,702","11.25","11.30","11.15","11.25"," 0.00","259",
"109/10/08","411,090","4,611,299","11.35","11.35","11.15","11.25"," 0.00","230",
"109/10/12","742,936","8,350,510","11.30","11.35","11.10","11.15","-0.10","340",
"109/10/13","928,008","10,478,775","11.15","11.40","11.10","11.30","+0.15","503",
"109/10/14","3,117,796","36,675,012","11.40","11.95","11.35","11.85","+0.55","1,139",
"109/10/15","3,481,305","41,856,793","11.85","12.30","11.80","11.80","-0.05","1,513",
"109/10/16","1,399,187","16,390,730","11.80","11.95","11.55","11.65","-0.15","565",
"109/10/19","897,596","10,484,517","11.65","11.80","11.60","11.80","+0.15","431",
"109/10/20","870,342","10,079,864","11.75","11.75","11.45","11.65","-0.15","414",
"109/10/21","729,429","8,504,938","11.70","11.80","11.55","11.70","+0.05","321",
"109/10/22","349,202","4,051,066","11.60","11.70","11.50","11.65","-0.05","187",
"109/10/23","880,801","10,251,486","11.70","11.75","11.40","11.70","+0.05","372",
"109/10/26","724,105","8,500,312","11.70","11.85","11.65","11.70"," 0.00","312",
"109/10/27","1,317,015","15,230,408","11.50","11.70","11.50","11.55","-0.15","378",
"109/10/28","748,867","8,651,078","11.60","11.70","11.45","11.45","-0.10","285",
"109/10/29","901,150","10,104,647","11.30","11.35","11.00","11.25","-0.20","370",
"109/10/30","953,582","10,623,027","11.30","11.35","11.00","11.05","-0.20","406",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

