"112年04月 6282 康舒             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/04/06","4,404,488","169,042,526","38.55","38.65","38.25","38.25","-0.30","2,425",
"112/04/07","4,998,678","193,310,589","38.55","38.90","38.40","38.80","+0.55","2,944",
"112/04/10","6,491,480","253,590,184","39.00","39.40","38.80","38.90","+0.10","3,397",
"112/04/11","10,775,339","425,561,338","39.20","39.95","39.00","39.10","+0.20","6,033",
"112/04/12","7,933,457","313,440,311","39.10","39.75","39.10","39.55","+0.45","4,484",
"112/04/13","11,335,317","441,185,239","39.70","39.85","38.50","38.70","-0.85","6,703",
"112/04/14","6,485,138","248,840,771","38.80","38.85","38.15","38.20","-0.50","4,078",
"112/04/17","30,846,946","1,236,715,258","38.25","40.90","38.25","40.45","+2.25","16,530",
"112/04/18","29,203,280","1,180,168,893","40.70","41.35","39.65","39.65","-0.80","16,485",
"112/04/19","67,641,813","2,880,780,673","40.10","43.60","40.10","43.60","+3.95","29,719",
"112/04/20","159,160,657","7,143,439,278","44.25","46.25","43.85","44.10","+0.50","71,509",
"112/04/21","113,190,224","5,000,627,377","44.75","45.80","42.05","43.60","-0.50","47,076",
"112/04/24","54,343,358","2,424,409,070","43.90","45.50","43.15","45.50","+1.90","23,198",
"112/04/25","69,814,964","3,043,786,944","44.85","45.25","42.00","43.00","-2.50","30,276",
"112/04/26","32,537,008","1,373,361,934","42.55","43.40","41.25","42.75","-0.25","15,337",
"112/04/27","35,313,594","1,530,086,951","42.90","44.05","42.20","43.45","+0.70","17,813",
"112/04/28","46,177,891","2,003,069,806","44.10","44.60","42.30","42.30","-1.15","20,592",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

