"112年06月 8046 南電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/06/01","5,644,535","1,688,962,922","301.50","303.50","297.00","298.50","-4.50","5,241",
"112/06/02","9,971,375","3,044,148,763","303.00","309.00","300.00","308.00","+9.50","8,357",
"112/06/05","5,958,639","1,824,569,658","307.00","310.00","303.50","305.00","-3.00","5,529",
"112/06/06","8,160,405","2,435,277,844","302.50","303.00","296.00","296.50","-8.50","8,836",
"112/06/07","9,579,970","2,793,896,258","296.50","297.00","288.00","290.00","-6.50","11,393",
"112/06/08","8,978,419","2,539,623,733","289.00","289.50","280.00","282.00","-8.00","10,301",
"112/06/09","5,433,237","1,538,672,917","280.00","286.00","280.00","284.50","+2.50","5,241",
"112/06/12","4,511,043","1,282,666,737","285.00","286.50","280.50","286.00","+1.50","4,173",
"112/06/13","6,971,191","2,032,799,317","288.00","294.00","288.00","293.00","+7.00","6,628",
"112/06/14","6,514,286","1,916,341,738","295.00","296.50","292.00","293.50","+0.50","5,821",
"112/06/15","10,022,650","2,838,597,124","280.50","289.00","280.50","281.00","X0.00","9,931",
"112/06/16","5,552,052","1,551,890,767","281.50","282.00","277.50","279.50","-1.50","5,406",
"112/06/19","4,009,304","1,115,243,901","278.00","281.00","277.00","278.00","-1.50","4,155",
"112/06/20","4,558,479","1,278,888,553","277.50","284.00","276.00","281.50","+3.50","4,492",
"112/06/21","2,706,529","756,253,263","282.00","282.50","278.00","278.00","-3.50","4,382",
"112/06/26","3,603,053","991,197,867","276.00","277.50","271.00","275.00","-3.00","3,275",
"112/06/27","5,901,298","1,600,702,631","274.00","277.50","268.00","268.50","-6.50","6,708",
"112/06/28","5,679,013","1,508,177,347","270.50","271.50","262.00","262.00","-6.50","6,722",
"112/06/29","3,604,447","949,296,606","263.50","266.00","262.00","262.50","+0.50","3,558",
"112/06/30","2,948,755","775,758,821","262.00","264.50","260.50","264.00","+1.50","3,436",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

