"110年03月 9910 豐泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/03/02","2,407,325","465,409,208","188.50","195.50","188.50","193.00","+7.00","1,781",
"110/03/03","1,940,054","371,667,637","190.00","195.00","189.50","191.00","-2.00","1,237",
"110/03/04","1,655,492","316,095,320","190.50","195.00","188.50","191.00"," 0.00","1,320",
"110/03/05","1,914,792","371,326,689","187.50","197.00","187.50","192.50","+1.50","1,321",
"110/03/08","1,619,028","311,911,047","193.00","196.00","191.00","191.00","-1.50","906",
"110/03/09","1,085,468","210,253,390","193.00","195.00","191.00","192.50","+1.50","726",
"110/03/10","450,107","87,255,135","194.50","195.00","192.50","194.00","+1.50","434",
"110/03/11","1,235,718","242,787,617","195.00","199.00","194.00","195.00","+1.00","905",
"110/03/12","920,053","181,332,030","196.50","198.00","194.50","197.00","+2.00","751",
"110/03/15","1,587,146","314,240,323","197.00","202.50","196.00","197.00"," 0.00","1,048",
"110/03/16","1,731,929","348,165,335","200.00","204.00","198.50","200.50","+3.50","1,336",
"110/03/17","907,512","179,151,099","198.50","201.00","195.00","196.00","-4.50","882",
"110/03/18","908,917","179,382,805","195.50","200.00","195.50","197.00","+1.00","603",
"110/03/19","1,259,915","247,031,954","195.00","199.00","192.50","199.00","+2.00","970",
"110/03/22","578,711","114,110,818","196.00","199.50","194.00","197.50","-1.50","543",
"110/03/23","567,052","110,260,905","196.00","197.00","193.50","194.00","-3.50","551",
"110/03/24","477,000","92,357,363","192.00","196.00","191.50","194.50","+0.50","426",
"110/03/25","2,550,515","477,307,417","192.50","193.50","184.00","184.00","-10.50","2,250",
"110/03/26","1,835,367","348,044,144","184.00","191.50","184.00","190.00","+6.00","1,274",
"110/03/29","1,344,745","260,451,754","188.50","196.00","187.50","195.50","+5.50","975",
"110/03/30","688,511","134,240,921","193.00","196.50","192.50","195.00","-0.50","597",
"110/03/31","681,689","133,002,921","194.00","196.50","194.00","195.00"," 0.00","422",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

