"10005る 9921 エ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/05/03","643,540","73,661,600","114.50","115.00","113.50","114.50"," 0.00","429",
"100/05/04","1,122,855","126,224,245","113.00","113.00","112.00","112.50","-2.00","767",
"100/05/05","736,975","83,737,660","112.00","115.00","112.00","114.00","+1.50","595",
"100/05/06","296,662","33,636,134","114.00","114.00","113.00","113.50","-0.50","261",
"100/05/09","552,900","62,567,700","113.00","114.00","112.50","113.00","-0.50","451",
"100/05/10","720,857","80,599,984","113.00","113.00","111.00","112.00","-1.00","400",
"100/05/11","585,844","65,105,684","111.50","112.00","110.50","111.00","-1.00","414",
"100/05/12","989,022","106,290,860","110.00","111.00","106.00","107.00","-4.00","589",
"100/05/13","688,659","72,713,695","105.00","106.50","105.00","105.00","-2.00","441",
"100/05/16","885,618","91,215,362","104.00","104.50","101.50","102.00","-3.00","586",
"100/05/17","892,960","93,017,340","102.00","105.50","102.00","104.00","+2.00","571",
"100/05/18","1,359,969","139,359,650","104.00","104.00","101.50","103.00","-1.00","574",
"100/05/19","1,884,359","189,723,456","102.50","102.50","98.10","98.40","-4.60","1,112",
"100/05/20","4,109,088","429,795,240","100.00","105.00","100.00","105.00","+6.60","1,604",
"100/05/23","1,903,764","198,276,220","105.00","105.00","102.50","104.00","-1.00","1,026",
"100/05/24","445,520","46,130,338","103.50","104.00","102.50","104.00"," 0.00","342",
"100/05/25","400,998","41,266,794","104.00","104.00","101.00","103.00","-1.00","375",
"100/05/26","399,361","41,427,183","104.00","104.00","103.00","103.50","+0.50","354",
"100/05/27","492,796","51,524,784","104.00","105.00","103.50","104.00","+0.50","283",
"100/05/30","555,599","58,099,796","104.00","105.00","103.50","103.50","-0.50","370",
"100/05/31","878,204","92,224,815","104.50","106.00","104.50","105.00","+1.50","467",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

