"106年03月 9921 巨大             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/03/01","782,616","147,927,554","189.00","190.50","187.00","188.50","-1.50","467",
"106/03/02","610,975","114,643,595","188.00","189.50","186.00","187.50","-1.00","261",
"106/03/03","590,634","109,910,720","188.00","188.00","185.50","185.50","-2.00","220",
"106/03/06","221,924","40,947,364","185.00","186.00","184.00","184.00","-1.50","195",
"106/03/07","168,036","31,178,212","184.00","186.50","183.50","186.00","+2.00","162",
"106/03/08","200,506","37,137,368","186.00","187.00","184.00","185.50","-0.50","200",
"106/03/09","562,839","102,782,473","184.50","184.50","182.00","182.50","-3.00","508",
"106/03/10","385,275","70,300,287","183.00","184.00","181.50","183.00","+0.50","347",
"106/03/13","269,329","49,732,365","183.00","185.50","183.00","185.00","+2.00","234",
"106/03/14","378,960","70,812,077","186.50","189.00","185.50","185.50","+0.50","370",
"106/03/15","189,412","35,123,336","185.50","186.50","184.50","185.00","-0.50","169",
"106/03/16","314,877","58,956,999","186.00","188.00","186.00","187.00","+2.00","291",
"106/03/17","632,005","117,051,420","188.00","188.50","184.00","184.00","-3.00","400",
"106/03/20","612,638","114,314,826","185.50","187.50","185.00","187.00","+3.00","273",
"106/03/21","433,432","80,870,352","187.50","187.50","186.00","186.00","-1.00","333",
"106/03/22","1,148,898","214,384,732","186.50","187.50","185.00","185.50","-0.50","307",
"106/03/23","440,231","82,019,947","187.50","188.00","185.00","186.00","+0.50","307",
"106/03/24","305,248","56,884,380","186.00","188.00","185.00","185.00","-1.00","267",
"106/03/27","365,395","67,930,365","185.00","187.00","185.00","186.00","+1.00","289",
"106/03/28","1,955,211","365,973,606","187.50","188.00","186.00","187.00","+1.00","379",
"106/03/29","264,104","49,391,448","188.00","188.00","186.00","187.00"," 0.00","241",
"106/03/30","2,191,899","395,293,719","186.00","186.00","178.50","179.00","-8.00","1,618",
"106/03/31","682,338","122,747,340","180.00","180.50","179.50","179.50","+0.50","598",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

