"110年09月 1301 台塑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/09/01","7,034,716","705,243,324","101.00","101.50","99.60","100.00","-2.50","3,216",
"110/09/02","5,682,717","564,305,589","100.00","100.50","98.80","98.80","-1.20","3,108",
"110/09/03","6,940,202","696,549,735","99.70","101.50","99.00","100.50","+1.70","2,595",
"110/09/06","3,581,584","357,094,135","100.00","100.50","99.20","99.30","-1.20","1,973",
"110/09/07","3,961,380","397,206,015","99.60","101.00","99.40","100.50","+1.20","2,200",
"110/09/08","4,277,157","428,479,556","100.50","101.00","99.30","100.50"," 0.00","2,357",
"110/09/09","6,264,385","620,707,758","99.70","99.70","98.50","99.10","-1.40","3,252",
"110/09/10","6,699,199","664,655,981","99.00","99.60","98.70","99.20","+0.10","3,075",
"110/09/13","9,065,859","910,404,849","99.70","101.50","99.30","100.50","+1.30","3,241",
"110/09/14","11,463,824","1,167,908,958","101.00","102.50","100.50","102.00","+1.50","6,996",
"110/09/15","6,660,515","680,623,500","102.00","103.00","101.00","102.00"," 0.00","2,840",
"110/09/16","10,705,571","1,107,544,675","103.00","104.00","102.50","103.00","+1.00","5,934",
"110/09/17","10,733,366","1,099,808,494","104.00","104.00","102.00","102.00","-1.00","4,334",
"110/09/22","7,924,608","796,354,911","100.50","101.50","100.00","100.00","-2.00","4,056",
"110/09/23","7,179,214","731,706,393","101.50","103.50","100.50","102.50","+2.50","3,571",
"110/09/24","18,972,027","2,000,099,453","103.50","106.50","102.50","106.00","+3.50","8,702",
"110/09/27","33,942,810","3,755,918,682","107.50","112.00","107.00","111.50","+5.50","16,891",
"110/09/28","29,592,842","3,325,825,731","111.50","114.00","109.00","114.00","+2.50","13,685",
"110/09/29","36,457,031","4,162,454,277","111.50","117.00","111.00","113.50","-0.50","16,235",
"110/09/30","19,937,854","2,251,355,471","114.50","115.00","110.50","113.50"," 0.00","8,130",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

