"9908る 1522 出蝴﹁           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/08/02","1,414,820","30,474,960","21.40","21.75","21.20","21.45","+0.30","558",
" 99/08/03","1,794,945","39,250,600","21.60","22.10","21.50","21.80","+0.35","712",
" 99/08/04","805,145","17,554,938","22.00","22.00","21.60","21.75","-0.05","355",
" 99/08/05","2,399,836","52,921,247","21.75","22.40","21.60","21.80","+0.05","783",
" 99/08/06","808,590","17,670,482","21.85","22.00","21.70","21.70","-0.10","273",
" 99/08/09","875,341","18,997,842","21.75","22.00","21.55","21.55","-0.15","322",
" 99/08/10","1,095,141","23,604,865","21.60","21.80","21.40","21.55"," 0.00","360",
" 99/08/11","801,871","17,157,361","21.55","21.55","21.25","21.25","-0.30","305",
" 99/08/12","874,311","17,821,785","19.80","21.20","19.80","20.80","-0.45","368",
" 99/08/13","770,525","15,983,866","20.45","20.95","20.45","20.85","+0.05","292",
" 99/08/16","765,978","15,935,039","20.80","20.95","20.70","20.70","-0.15","273",
" 99/08/17","859,379","17,989,216","20.70","21.15","20.70","21.05","+0.35","294",
" 99/08/18","744,688","15,694,352","21.30","21.30","20.90","20.90","-0.15","351",
" 99/08/19","400,233","8,396,241","21.05","21.10","20.85","20.85","-0.05","165",
" 99/08/20","409,093","8,495,553","20.95","20.95","20.70","20.75","-0.10","185",
" 99/08/23","810,156","17,048,583","21.20","21.20","20.80","20.90","+0.15","264",
" 99/08/24","381,377","7,989,368","20.95","21.10","20.80","20.80","-0.10","181",
" 99/08/25","912,737","18,951,581","20.80","21.00","20.65","20.65","-0.15","311",
" 99/08/26","720,402","14,857,878","20.65","20.95","20.45","20.60","-0.05","267",
" 99/08/27","304,383","6,334,775","20.60","21.00","20.60","20.80","+0.20","155",
" 99/08/30","477,366","10,022,941","21.15","21.15","20.80","20.90","+0.10","202",
" 99/08/31","797,201","16,329,289","20.80","20.80","20.25","20.25","-0.65","282",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

