"110年02月 1522 堤維西           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/02/01","597,900","13,492,558","22.70","23.00","22.25","22.60","-0.30","364",
"110/02/02","561,194","12,730,536","22.60","22.95","22.50","22.55","-0.05","350",
"110/02/03","377,196","8,478,836","22.70","22.80","22.35","22.40","-0.15","291",
"110/02/04","625,707","13,842,404","22.15","22.35","22.00","22.10","-0.30","405",
"110/02/05","498,681","11,010,060","22.10","22.25","22.00","22.05","-0.05","332",
"110/02/17","581,528","12,795,524","22.30","22.35","21.60","22.20","+0.15","361",
"110/02/18","541,566","12,181,888","22.30","22.70","22.10","22.60","+0.40","317",
"110/02/19","751,298","17,081,865","22.75","23.00","22.45","22.85","+0.25","394",
"110/02/22","1,491,117","34,934,249","22.85","24.15","22.75","23.80","+0.95","753",
"110/02/23","5,446,354","133,482,658","23.70","24.95","23.65","24.40","+0.60","2,577",
"110/02/24","1,575,535","38,119,549","24.40","24.55","24.00","24.00","-0.40","759",
"110/02/25","1,177,609","28,511,040","24.20","24.55","23.90","24.55","+0.55","586",
"110/02/26","1,059,818","25,650,431","24.20","24.50","24.05","24.10","-0.45","541",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

