"9912る 1582 獺繟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/12/01","597,638","30,792,994","50.60","52.50","50.50","52.50","+2.10","362",
" 99/12/02","418,511","21,750,519","53.00","53.00","51.50","51.60","-0.90","280",
" 99/12/03","405,189","21,048,641","51.60","52.70","51.60","52.60","+1.00","210",
" 99/12/06","269,628","14,045,556","52.50","52.50","52.00","52.30","-0.30","177",
" 99/12/07","232,177","12,002,594","52.30","52.30","51.50","51.60","-0.70","140",
" 99/12/08","362,102","18,892,406","52.00","52.70","51.50","52.00","+0.40","214",
" 99/12/09","598,848","31,665,387","52.50","53.80","51.70","52.90","+0.90","377",
" 99/12/10","1,151,694","62,207,866","53.50","54.60","53.00","54.00","+1.10","662",
" 99/12/13","587,431","31,655,115","54.40","54.40","53.40","53.40","-0.60","343",
" 99/12/14","579,624","30,792,571","53.40","54.00","52.50","52.50","-0.90","310",
" 99/12/15","428,276","22,125,524","52.50","52.50","51.30","51.70","-0.80","241",
" 99/12/16","291,010","14,990,814","51.50","52.00","51.10","51.60","-0.10","181",
" 99/12/17","309,213","15,966,704","51.50","52.20","51.10","51.20","-0.40","159",
" 99/12/20","258,005","13,257,558","51.30","51.60","51.10","51.20"," 0.00","134",
" 99/12/21","210,903","10,810,940","51.20","51.70","51.10","51.10","-0.10","144",
" 99/12/22","351,300","18,047,730","51.10","51.70","51.10","51.60","+0.50","195",
" 99/12/23","396,009","20,587,172","51.60","52.40","51.60","52.00","+0.40","203",
" 99/12/24","350,727","18,112,893","52.00","52.40","51.30","51.30","-0.70","173",
" 99/12/27","140,717","7,247,426","51.30","51.80","51.20","51.40","+0.10","106",
" 99/12/28","230,240","11,861,440","51.40","51.90","51.00","51.00","-0.40","140",
" 99/12/29","746,000","37,109,550","51.00","51.00","49.25","49.25","-1.75","484",
" 99/12/30","184,000","9,068,900","49.00","49.80","49.00","49.40","+0.15","116",
" 99/12/31","235,453","11,609,227","49.80","49.80","49.10","49.15","-0.25","136",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

