"109年09月 1590 亞德客-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","920,889","622,888,187","664.00","687.00","654.00","687.00","+36.00","799",
"109/09/02","918,443","641,266,885","690.00","717.00","681.00","694.00","+7.00","832",
"109/09/03","827,385","559,427,415","689.00","692.00","670.00","676.00","X0.00","706",
"109/09/04","1,192,732","812,970,904","662.00","699.00","659.00","673.00","-3.00","1,094",
"109/09/07","667,356","445,828,672","673.00","687.00","660.00","660.00","-13.00","582",
"109/09/08","1,045,090","688,848,490","663.00","670.00","646.00","665.00","+5.00","905",
"109/09/09","1,214,265","790,794,225","666.00","669.00","632.00","665.00"," 0.00","1,090",
"109/09/10","892,073","596,673,764","666.00","682.00","658.00","667.00","+2.00","776",
"109/09/11","1,149,624","778,376,692","659.00","687.00","659.00","687.00","+20.00","783",
"109/09/14","1,047,103","699,092,319","687.00","687.00","660.00","667.00","-20.00","975",
"109/09/15","698,218","468,562,278","669.00","677.00","662.00","670.00","+3.00","646",
"109/09/16","1,291,934","891,410,196","676.00","699.00","672.00","699.00","+29.00","1,213",
"109/09/17","1,071,961","729,222,597","685.00","692.00","674.00","677.00","-22.00","978",
"109/09/18","2,157,766","1,477,277,412","682.00","695.00","680.00","684.00","+7.00","795",
"109/09/21","700,928","471,880,040","684.00","689.00","666.00","669.00","-15.00","615",
"109/09/22","810,256","531,251,728","662.00","670.00","650.00","651.00","-18.00","709",
"109/09/23","534,094","350,459,476","655.00","665.00","649.00","658.00","+7.00","484",
"109/09/24","800,403","511,503,293","645.00","650.00","634.00","635.00","-23.00","703",
"109/09/25","732,995","460,382,910","643.00","649.00","614.00","618.00","-17.00","635",
"109/09/28","490,993","308,008,485","628.00","636.00","619.00","636.00","+18.00","471",
"109/09/29","970,306","602,740,048","650.00","652.00","612.00","612.00","-24.00","810",
"109/09/30","1,367,309","872,940,232","613.00","651.00","613.00","651.00","+39.00","1,210",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

