"10412る 1609 ㄈ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","242,334","1,103,762","4.54","4.58","4.53","4.57"," 0.00","74",
"104/12/02","264,964","1,207,282","4.57","4.59","4.54","4.58","+0.01","142",
"104/12/03","637,034","2,957,975","4.59","4.69","4.52","4.68","+0.10","163",
"104/12/04","409,028","1,902,077","4.68","4.68","4.58","4.65","-0.03","77",
"104/12/07","273,470","1,268,172","4.65","4.69","4.60","4.69","+0.04","86",
"104/12/08","137,993","638,017","4.62","4.66","4.61","4.65","-0.04","67",
"104/12/09","261,131","1,202,175","4.58","4.68","4.53","4.65"," 0.00","92",
"104/12/10","279,141","1,271,905","4.63","4.63","4.53","4.62","-0.03","75",
"104/12/11","306,041","1,392,002","4.59","4.60","4.51","4.56","-0.06","82",
"104/12/14","388,451","1,734,757","4.51","4.52","4.41","4.45","-0.11","106",
"104/12/15","379,031","1,672,310","4.38","4.45","4.38","4.39","-0.06","112",
"104/12/16","297,001","1,318,801","4.41","4.46","4.41","4.46","+0.07","64",
"104/12/17","331,313","1,490,087","4.49","4.53","4.46","4.50","+0.04","114",
"104/12/18","269,086","1,200,334","4.48","4.50","4.44","4.45","-0.05","123",
"104/12/21","481,266","2,162,730","4.45","4.55","4.41","4.50","+0.05","123",
"104/12/22","260,811","1,172,356","4.50","4.52","4.48","4.48","-0.02","73",
"104/12/23","426,742","1,929,752","4.49","4.55","4.49","4.51","+0.03","80",
"104/12/24","621,310","2,849,682","4.54","4.64","4.53","4.57","+0.06","130",
"104/12/25","256,683","1,170,932","4.58","4.59","4.53","4.58","+0.01","75",
"104/12/28","235,564","1,083,969","4.59","4.63","4.55","4.62","+0.04","87",
"104/12/29","192,243","879,252","4.60","4.61","4.55","4.61","-0.01","66",
"104/12/30","221,316","1,017,158","4.58","4.63","4.58","4.58","-0.03","75",
"104/12/31","116,476","535,215","4.62","4.62","4.56","4.61","+0.03","62",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

