"109年08月 1609 大亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/08/03","38,950,768","471,643,717","11.35","12.30","11.35","12.30","+1.10","7,682",
"109/08/04","49,238,454","631,161,587","12.40","13.25","12.35","12.85","+0.55","12,458",
"109/08/05","13,378,001","171,185,726","12.70","13.00","12.60","12.90","+0.05","4,239",
"109/08/06","21,604,232","278,991,015","13.05","13.15","12.55","13.10","+0.20","5,475",
"109/08/07","44,890,942","610,654,897","13.35","14.10","13.15","13.70","+0.60","11,899",
"109/08/10","40,810,823","607,482,849","14.30","15.05","14.00","15.05","+1.35","8,073",
"109/08/11","80,505,232","1,161,943,876","15.30","15.45","13.55","14.20","-0.85","22,198",
"109/08/12","29,498,154","417,693,306","14.35","14.45","13.75","14.10","-0.10","8,576",
"109/08/13","14,876,418","206,807,199","14.30","14.40","13.65","13.70","-0.40","4,857",
"109/08/14","19,841,398","276,903,138","13.65","14.20","13.50","13.90","+0.20","5,656",
"109/08/17","25,707,903","369,446,622","14.10","14.70","13.95","14.40","+0.50","7,892",
"109/08/18","48,220,531","716,809,418","14.40","15.40","14.30","14.85","+0.45","14,096",
"109/08/19","35,406,007","520,909,609","14.95","15.30","14.20","14.35","-0.50","10,288",
"109/08/20","23,763,035","328,020,413","14.30","14.40","13.15","13.90","-0.45","6,639",
"109/08/21","21,203,815","305,209,886","14.30","14.70","14.10","14.40","+0.50","6,211",
"109/08/24","22,871,896","331,299,563","14.40","14.70","14.20","14.55","+0.15","6,052",
"109/08/25","21,645,879","317,362,133","14.60","14.95","14.40","14.60","+0.05","5,920",
"109/08/26","11,397,058","166,999,082","14.70","14.85","14.55","14.60"," 0.00","3,593",
"109/08/27","11,776,103","171,185,064","14.65","14.85","14.35","14.35","-0.25","3,735",
"109/08/28","12,836,107","186,050,382","14.35","14.70","14.20","14.45","+0.10","3,606",
"109/08/31","47,044,255","705,785,037","14.65","15.35","14.60","14.95","+0.50","13,141",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

