"112年07月 1734 杏輝             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/07/03","1,493,023","53,900,887","36.15","36.30","35.80","36.10","-0.10","943",
"112/07/04","1,591,723","57,250,466","36.40","36.45","35.75","35.75","-0.35","1,074",
"112/07/05","1,331,646","47,675,941","36.05","36.10","35.50","35.60","-0.15","846",
"112/07/06","2,351,898","82,942,116","35.60","35.85","34.85","34.85","-0.75","1,495",
"112/07/07","1,188,238","41,204,639","35.25","35.25","34.40","34.65","-0.20","733",
"112/07/10","1,267,156","44,050,114","35.15","35.15","34.50","34.80","+0.15","762",
"112/07/11","2,520,932","86,104,616","34.85","34.85","33.80","33.95","-0.85","1,489",
"112/07/12","1,584,123","53,449,836","33.95","34.00","33.65","33.75","-0.20","946",
"112/07/13","1,717,258","56,167,019","33.10","33.10","32.50","32.50","X0.00","1,074",
"112/07/14","1,621,099","52,817,544","32.55","32.95","32.20","32.45","-0.05","947",
"112/07/17","1,634,352","53,503,137","32.45","33.10","32.20","32.90","+0.45","1,072",
"112/07/18","1,347,758","43,910,221","33.20","33.20","32.40","32.40","-0.50","906",
"112/07/19","1,724,638","57,205,243","32.45","33.75","32.40","32.95","+0.55","1,096",
"112/07/20","793,485","26,124,507","33.15","33.25","32.70","32.80","-0.15","577",
"112/07/21","1,150,194","37,851,549","33.00","33.45","32.60","32.60","-0.20","729",
"112/07/24","628,695","20,489,838","33.00","33.00","32.35","32.70","+0.10","430",
"112/07/25","730,609","24,040,680","32.75","33.05","32.65","33.00","+0.30","483",
"112/07/26","717,322","23,481,693","33.10","33.10","32.55","32.55","-0.45","481",
"112/07/27","633,999","20,734,070","32.65","33.00","32.50","32.65","+0.10","432",
"112/07/28","1,146,992","37,019,785","32.60","32.65","32.05","32.25","-0.40","775",
"112/07/31","656,760","21,324,299","32.45","32.80","32.20","32.40","+0.15","445",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

