"9910る 1802              らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/10/01","1,937,510","62,134,520","31.80","32.25","31.70","32.15","+0.45","672",
" 99/10/04","12,983,241","435,839,230","32.50","34.20","32.30","34.00","+1.85","4,260",
" 99/10/05","5,136,736","172,358,189","33.95","33.95","33.15","33.55","-0.45","2,117",
" 99/10/06","13,104,659","456,938,185","34.00","35.45","33.80","35.00","+1.45","4,389",
" 99/10/07","21,280,117","764,009,826","35.00","37.00","34.50","35.95","+0.95","6,200",
" 99/10/08","8,676,012","306,858,885","35.90","36.20","34.90","35.45","-0.50","2,543",
" 99/10/11","5,799,528","204,917,955","35.45","35.80","34.60","34.80","-0.65","1,675",
" 99/10/12","6,839,968","238,738,166","34.60","35.20","34.60","34.80"," 0.00","1,931",
" 99/10/13","7,821,564","272,418,787","35.25","35.50","34.30","35.50","+0.70","2,706",
" 99/10/14","15,975,816","585,856,185","35.80","37.50","35.25","37.30","+1.80","5,159",
" 99/10/15","7,961,108","295,132,521","37.20","37.75","36.50","36.60","-0.70","2,792",
" 99/10/18","4,421,015","160,593,103","36.60","36.90","35.80","36.45","-0.15","1,629",
" 99/10/19","5,638,998","205,681,686","36.40","36.75","36.00","36.35","-0.10","2,089",
" 99/10/20","4,272,280","157,070,360","36.05","37.30","35.90","37.20","+0.85","1,879",
" 99/10/21","8,242,777","310,147,214","37.00","38.35","36.75","37.70","+0.50","3,137",
" 99/10/22","4,121,401","153,953,359","37.70","38.00","36.80","37.05","-0.65","1,722",
" 99/10/25","2,725,122","101,702,555","37.60","37.60","37.10","37.35","+0.30","1,166",
" 99/10/26","5,373,578","204,171,664","37.60","38.45","37.55","38.10","+0.75","1,849",
" 99/10/27","1,742,091","65,290,646","38.05","38.05","37.15","37.25","-0.85","896",
" 99/10/28","2,563,103","95,579,187","37.30","37.80","36.90","37.45","+0.20","990",
" 99/10/29","1,270,799","47,069,743","37.65","37.65","36.70","37.00","-0.45","456",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

