"110年02月 1802 台玻             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/02/01","15,298,834","249,531,118","16.30","16.70","16.00","16.20","+0.25","4,609",
"110/02/02","10,307,499","170,878,661","16.20","16.90","16.05","16.75","+0.55","3,219",
"110/02/03","11,032,072","185,213,854","16.90","17.05","16.50","16.90","+0.15","3,300",
"110/02/04","4,809,535","81,278,938","16.90","17.05","16.70","16.95","+0.05","1,409",
"110/02/05","6,715,498","114,575,966","17.05","17.30","16.90","16.95"," 0.00","2,019",
"110/02/17","11,859,804","207,952,720","17.05","17.90","17.00","17.80","+0.85","3,876",
"110/02/18","15,723,122","285,931,760","17.80","18.60","17.60","18.20","+0.40","5,292",
"110/02/19","15,882,790","292,395,020","18.05","18.80","17.90","18.35","+0.15","5,360",
"110/02/22","12,588,731","234,620,519","18.55","18.85","18.35","18.75","+0.40","4,083",
"110/02/23","36,224,815","709,525,269","18.75","20.20","18.70","19.45","+0.70","11,319",
"110/02/24","17,020,824","331,985,604","19.65","20.10","19.15","19.55","+0.10","6,094",
"110/02/25","10,626,417","210,719,522","19.95","20.20","19.60","19.75","+0.20","3,948",
"110/02/26","18,335,986","364,137,984","19.40","20.20","19.40","20.00","+0.25","5,673",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

