"111年03月 2002 中鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/03/01","192,591,898","7,325,988,065","38.00","38.65","37.40","37.95","+1.95","75,426",
"111/03/02","161,699,341","6,202,621,553","38.25","38.80","37.95","38.30","+0.35","60,593",
"111/03/03","83,968,799","3,247,609,444","38.90","38.95","38.55","38.60","+0.30","29,983",
"111/03/04","67,511,715","2,601,704,073","38.55","38.75","38.30","38.40","-0.20","34,586",
"111/03/07","169,196,742","6,524,468,500","38.45","39.20","37.55","39.00","+0.60","64,879",
"111/03/08","157,398,911","5,978,481,734","38.85","39.15","36.90","37.40","-1.60","66,773",
"111/03/09","54,471,648","2,062,233,550","37.75","38.20","37.40","37.95","+0.55","29,788",
"111/03/10","53,175,185","2,034,165,018","38.35","38.40","38.10","38.30","+0.35","21,194",
"111/03/11","41,965,287","1,613,789,538","38.30","38.70","38.30","38.45","+0.15","14,849",
"111/03/14","49,001,000","1,900,106,831","38.70","38.90","38.65","38.80","+0.35","17,537",
"111/03/15","44,209,537","1,707,720,671","39.00","39.00","38.30","38.70","-0.10","17,303",
"111/03/16","50,958,281","1,966,418,097","39.00","39.00","38.20","38.55","-0.15","24,326",
"111/03/17","45,732,405","1,772,134,090","38.90","38.90","38.55","38.85","+0.30","15,287",
"111/03/18","61,727,023","2,408,525,113","38.90","39.20","38.80","39.05","+0.20","19,217",
"111/03/21","109,300,138","4,360,534,762","39.60","40.25","39.60","39.75","+0.70","43,855",
"111/03/22","75,825,589","3,024,263,686","40.10","40.15","39.45","39.80","+0.05","27,756",
"111/03/23","54,848,383","2,185,840,897","39.90","40.00","39.60","40.00","+0.20","21,011",
"111/03/24","52,693,118","2,108,471,815","40.00","40.15","39.85","40.00"," 0.00","21,501",
"111/03/25","56,999,363","2,282,103,200","40.15","40.20","39.95","40.00"," 0.00","19,522",
"111/03/28","45,820,483","1,814,678,873","39.85","40.00","39.15","40.00"," 0.00","20,864",
"111/03/29","54,333,668","2,146,043,648","39.85","39.90","39.35","39.40","-0.60","23,367",
"111/03/30","80,655,863","3,129,843,106","39.25","39.25","38.35","38.95","-0.45","37,453",
"111/03/31","30,303,522","1,179,934,431","38.90","39.15","38.65","38.95"," 0.00","13,992",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

