"109年12月 2207 和泰車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/12/01","339,864","220,556,044","646.00","654.00","642.00","650.00","+9.00","480",
"109/12/02","578,534","373,900,877","648.00","653.00","638.00","650.00"," 0.00","596",
"109/12/03","238,621","154,807,882","643.00","655.00","643.00","650.00"," 0.00","265",
"109/12/04","451,202","297,067,028","649.00","663.00","646.00","658.00","+8.00","506",
"109/12/07","507,965","327,736,004","660.00","660.00","642.00","644.00","-14.00","681",
"109/12/08","246,264","158,539,775","641.00","647.00","640.00","644.00"," 0.00","334",
"109/12/09","259,223","167,304,281","646.00","649.00","643.00","644.00"," 0.00","309",
"109/12/10","273,378","174,599,157","640.00","642.00","636.00","639.00","-5.00","378",
"109/12/11","242,495","155,565,195","640.00","647.00","637.00","641.00","+2.00","319",
"109/12/14","422,624","266,787,843","641.00","641.00","626.00","629.00","-12.00","579",
"109/12/15","453,156","282,584,475","625.00","632.00","619.00","623.00","-6.00","621",
"109/12/16","626,410","401,889,135","630.00","650.00","630.00","648.00","+25.00","694",
"109/12/17","363,460","230,144,192","643.00","645.00","628.00","633.00","-15.00","492",
"109/12/18","458,549","288,919,043","639.00","642.00","626.00","626.00","-7.00","383",
"109/12/21","255,802","160,947,799","624.00","637.00","621.00","636.00","+10.00","300",
"109/12/22","253,661","159,347,262","633.00","635.00","623.00","625.00","-11.00","372",
"109/12/23","221,768","137,850,695","620.00","626.00","619.00","622.00","-3.00","292",
"109/12/24","109,281","68,462,030","625.00","629.00","624.00","627.00","+5.00","147",
"109/12/25","151,923","95,039,247","632.00","632.00","621.00","622.00","-5.00","236",
"109/12/28","165,910","104,325,050","624.00","632.00","624.00","630.00","+8.00","371",
"109/12/29","98,874","62,353,403","636.00","636.00","627.00","634.00","+4.00","186",
"109/12/30","510,165","327,688,543","632.00","650.00","630.00","647.00","+13.00","589",
"109/12/31","293,706","189,394,428","645.00","652.00","638.00","643.00","-4.00","364",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

