"108年04月 2303 聯電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/04/01","22,798,711","265,345,955","11.70","11.75","11.55","11.55","-0.10","4,956",
"108/04/02","23,155,479","269,054,648","11.65","11.70","11.55","11.60","+0.05","4,970",
"108/04/03","21,951,315","254,348,844","11.60","11.65","11.55","11.55","-0.05","4,427",
"108/04/08","105,510,930","1,255,732,839","11.60","12.15","11.60","11.90","+0.35","13,284",
"108/04/09","86,939,518","1,057,589,370","12.00","12.30","11.95","12.30","+0.40","15,105",
"108/04/10","48,397,306","591,630,854","12.30","12.35","12.10","12.25","-0.05","10,933",
"108/04/11","89,309,795","1,098,308,100","12.35","12.45","12.10","12.10","-0.15","15,083",
"108/04/12","17,252,844","209,882,850","12.25","12.25","12.10","12.20","+0.10","4,203",
"108/04/15","34,868,344","421,774,481","12.25","12.30","12.05","12.05","-0.15","4,420",
"108/04/16","35,946,007","434,911,590","12.10","12.25","12.00","12.10","+0.05","4,894",
"108/04/17","60,477,263","739,110,482","12.15","12.40","12.10","12.20","+0.10","8,595",
"108/04/18","48,686,881","586,580,393","12.25","12.30","11.90","12.00","-0.20","7,577",
"108/04/19","24,015,462","289,118,358","12.05","12.10","12.00","12.10","+0.10","4,054",
"108/04/22","28,202,641","338,234,859","12.15","12.15","11.90","11.90","-0.20","7,040",
"108/04/23","27,169,104","324,369,990","11.90","12.00","11.90","11.95","+0.05","5,836",
"108/04/24","39,688,992","474,918,703","12.05","12.10","11.85","11.95"," 0.00","7,097",
"108/04/25","185,934,503","2,406,707,761","12.60","13.10","12.60","13.10","+1.15","20,956",
"108/04/26","225,982,817","2,990,156,968","13.10","13.45","12.95","13.45","+0.35","30,963",
"108/04/29","71,900,498","958,997,010","13.45","13.50","13.25","13.35","-0.10","10,781",
"108/04/30","63,857,184","856,685,681","13.35","13.50","13.30","13.45","+0.10","8,483",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

