"109年11月 2312 金寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/11/02","4,506,743","47,313,578","10.60","10.60","10.40","10.50"," 0.00","1,029",
"109/11/03","9,927,013","107,555,768","10.60","10.95","10.60","10.80","+0.30","1,789",
"109/11/04","5,735,580","62,077,545","10.85","10.90","10.70","10.80"," 0.00","1,015",
"109/11/05","7,908,723","85,548,265","10.80","10.90","10.70","10.75","-0.05","971",
"109/11/06","2,149,634","23,168,501","10.80","10.85","10.70","10.80","+0.05","661",
"109/11/09","22,553,380","249,940,305","10.85","11.20","10.85","11.15","+0.35","3,199",
"109/11/10","10,542,700","116,786,315","11.15","11.20","11.00","11.10","-0.05","1,764",
"109/11/11","8,202,384","91,804,874","11.10","11.25","11.05","11.25","+0.15","1,781",
"109/11/12","4,835,568","53,770,401","11.20","11.25","11.05","11.10","-0.15","968",
"109/11/13","2,761,704","30,582,226","11.15","11.15","11.05","11.15","+0.05","568",
"109/11/16","18,958,153","205,594,265","11.15","11.15","10.65","11.00","-0.15","3,815",
"109/11/17","14,972,230","162,987,006","11.00","11.05","10.75","10.85","-0.15","2,841",
"109/11/18","9,227,744","100,868,870","10.85","11.00","10.85","10.90","+0.05","1,821",
"109/11/19","3,142,690","34,130,185","10.90","10.95","10.80","10.85","-0.05","798",
"109/11/20","23,762,444","262,044,205","10.80","11.15","10.70","11.05","+0.20","3,157",
"109/11/23","19,824,986","221,278,796","11.05","11.25","11.00","11.15","+0.10","3,856",
"109/11/24","5,374,938","59,692,817","11.20","11.25","11.00","11.05","-0.10","1,389",
"109/11/25","5,234,638","57,707,224","11.10","11.15","10.90","10.95","-0.10","1,222",
"109/11/26","6,448,611","71,427,606","11.05","11.15","10.95","11.15","+0.20","1,330",
"109/11/27","4,016,417","44,583,564","11.15","11.15","11.05","11.10","-0.05","927",
"109/11/30","9,822,085","109,305,350","11.15","11.20","11.05","11.15","+0.05","1,571",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

